species,pu,amount
1,1,15300
1,2,15300
1,3,21600
1,4,351000
1,5,191700
1,6,378000
1,7,284400
1,8,5400
1,9,2700
1,10,900
1,11,459000
1,12,111600
1,13,81000
1,14,392400
1,15,1071000
1,16,1910700
1,17,736200
1,18,18000
1,19,245700
1,20,11700
1,21,468900
1,22,508500
1,23,900
1,24,18900
1,25,47700
1,26,900
1,27,35100
1,28,27900
1,29,15300
1,30,72000
1,31,201600
1,32,216900
1,33,9900
1,34,147600
1,35,94500
1,36,126000
1,37,1121400
1,38,656100
1,39,471600
1,40,1367100
1,41,1633500
1,42,3344400
1,43,1042200
1,44,10800
1,45,2700
1,46,286200
1,47,144900
1,48,2700
1,49,407700
1,50,293400
1,51,1363500
1,52,1576800
1,53,1728000
1,54,2026800
1,55,576000
1,56,3600
1,57,82800
1,58,478800
1,59,1203300
1,60,417600
1,61,724500
1,62,1303200
1,63,1079100
1,64,90000
1,65,72900
1,66,747900
1,67,1629900
1,68,410400
1,69,817200
1,70,1153800
1,71,1669500
1,72,1588500
1,73,7200
1,74,108000
1,75,539100
1,76,590400
1,77,115200
1,78,1800
1,79,198900
1,80,606600
1,81,736200
1,82,334800
1,83,2502000
1,84,456300
1,85,506700
1,86,1129500
1,87,2997900
1,88,2199600
1,89,2052900
1,90,1800
1,91,231300
1,92,378900
1,93,135000
1,94,50400
1,95,25200
1,96,11700
1,97,261900
1,98,193500
1,99,105300
1,100,11700
1,101,10800
1,102,144000
1,103,82800
1,104,565200
1,105,116100
1,106,10800
1,107,7200
1,108,2700
1,109,900
1,110,45900
1,111,10800
1,112,20700
1,113,103500
1,114,235800
1,115,66600
1,116,3600
1,117,1357200
1,118,244800
1,119,221400
1,120,493200
1,121,983700
1,122,1675800
1,123,212400
1,124,37800
1,125,38700
1,126,54900
1,127,10800
1,128,1811700
1,129,544500
1,130,27900
1,131,1294200
1,132,1333800
1,133,45900
1,134,4671900
1,135,1044000
1,136,379800
1,137,5492700
1,138,1800
1,139,4192200
1,140,5105700
1,141,2201400
1,142,122400
1,143,2806200
1,144,6381000
1,145,1172700
1,146,1699200
1,147,1093500
1,148,1800
1,149,10800
