species,pu,amount
1,1,4500
1,2,10800
1,3,6300
1,4,1800
1,5,28800
1,6,207000
1,7,72000
1,8,24300
1,9,203400
1,10,357300
1,11,583200
1,12,278100
1,13,2700
1,14,900
1,15,1333800
1,16,23400
1,17,1800
1,18,900
1,19,900
1,20,4500
1,21,2700
1,22,900
1,23,45000
1,24,11700
1,25,3600
1,26,7200
1,27,900
1,28,900
1,29,576900
1,30,1800
1,31,12600
1,32,12600
1,33,1800
1,34,2700
1,35,42300
1,36,13500
1,37,1800
1,38,73800
1,39,948600
1,40,6300
1,41,1800
1,42,11700
1,43,10800
1,44,9000
1,45,7200
1,46,13500
1,47,900
1,48,10800
1,49,46800
1,50,50400
1,51,8100
1,52,42300
1,53,64800
1,54,900
1,55,649800
1,56,10800
1,57,1628100
1,58,120600
1,59,180900
1,60,45900
1,61,19800
1,62,1800
1,63,5400
1,64,10800
1,65,30600
1,66,10800
1,67,14400
1,68,19800
1,69,56700
1,70,90000
1,71,118800
1,72,7200
1,73,3600
1,74,58500
1,75,32400
1,76,36000
1,77,11700
1,78,4500
1,79,1800
1,80,567000
1,81,2700
1,82,22500
1,83,900
1,84,32400
1,85,7200
1,86,8100
1,87,75600
1,88,85500
1,89,128700
1,90,26100
1,91,35100
1,92,6300
1,93,16200
1,94,789300
1,95,56700
1,96,4049100
1,97,5354100
1,98,190800
1,99,825300
1,100,324900
1,101,136800
1,102,709200
1,103,4414500
1,104,3843900
1,105,900
1,106,681300
1,107,758700
1,108,2673900
1,109,1298700
1,110,795600
1,111,2687400
1,112,3615300
1,113,1886400
1,114,1139400
1,115,144000
1,116,1660500
1,117,732600
1,118,1008900
1,119,378000
1,120,58500
1,121,376200
1,122,1392300
1,123,1008000
1,124,14400
1,125,439200
1,126,61200
1,127,120600
1,128,27900
1,129,976500
1,130,919800
1,131,15300
1,132,6300
1,133,877500
1,134,32400
1,135,34200
1,136,12600
1,137,86400
1,138,225000
1,139,900
1,140,4500
1,141,61200
1,142,315000
1,143,62100
1,144,1800
1,145,388800
1,146,10800
1,147,7200
1,148,1557000
1,149,9678600
1,150,4258800
1,151,2237400
1,152,340200
1,153,3716100
1,154,5441400
1,156,781200
1,157,2082600
1,158,257400
1,159,96300
1,160,1665000
1,161,549000
1,162,45900
1,163,564300
1,164,2773800
1,165,491400
1,166,572400
1,167,343800
1,168,1490400
1,169,103500
1,170,1060200
1,171,35100
1,172,3359700
1,173,8083800
1,174,7956000
1,175,5472000
1,176,6309000
1,177,2048400
1,178,2559600
1,179,5597100
1,180,3572100
1,181,6275700
1,182,7416900
1,183,4863600
1,184,7184700
1,185,2699100
1,186,279900
1,187,207900
1,188,88200
1,189,593100
1,190,3168000
1,191,5814900
1,192,292500
1,193,1800
1,194,44100
1,195,84600
1,196,9900
1,197,9000
1,198,1800
1,199,54000
1,200,2700
1,201,9000
1,202,21600
1,203,9900
1,204,27000
1,205,4500
1,206,27000
1,207,2700
1,208,48600
1,209,1800
1,210,11700
1,211,3600
1,212,77400
1,213,331200
1,214,98100
1,215,5400
1,216,1800
1,217,24300
1,218,324900
1,219,3139200
1,220,488700
1,221,2332800
1,222,2355300
1,223,250200
1,224,90900
1,225,191700
1,226,281700
1,227,12018600
1,228,3186000
1,229,4914900
1,230,5081400
1,231,5291100
1,232,4972500
1,233,2593800
1,234,995400
1,235,467100
1,236,3954600
1,237,3586500
1,238,364500
1,239,5403600
1,240,2991600
1,241,4272300
1,242,5492700
1,243,5453100
1,244,3208500
1,245,5657400
1,246,820800
1,247,541800
1,248,2150100
1,249,3627000
1,250,2573100
1,251,4573800
1,252,3183300
1,253,6440400
1,254,2339100
1,255,4704300
1,256,4229100
1,257,4770900
1,258,3805200
1,259,5515200
1,260,1415700
1,261,5404500
1,262,6300
1,263,173700
1,264,5400
1,265,234000
1,266,1104300
1,267,248400
1,268,300600
1,269,25200
1,270,28800
1,271,900
1,272,13500
1,273,28800
1,274,41400
1,275,900
1,276,6300
1,277,37800
1,278,1800
1,279,9900
1,280,900
1,281,28800
1,282,720000
1,283,71100
1,284,6300
1,285,900
1,286,499500
1,287,24300
1,288,17100
1,289,446400
1,290,1796400
1,291,981900
1,292,99900
1,293,73800
1,294,565200
1,295,909900
1,296,237600
1,297,24300
1,298,40500
1,299,2070900
1,300,2977200
1,301,702900
1,302,836100
1,303,4660200
1,304,3999600
1,305,1444500
1,306,2025000
1,307,4916700
1,308,4473000
1,309,2896200
1,310,491400
1,311,3101400
1,312,1814400
1,313,8531100
1,314,5208300
1,315,5506200
1,316,4343400
1,317,2682000
1,318,6867000
1,319,5262300
1,320,4149000
1,321,8869500
1,322,4941900
1,323,4100400
1,324,4311900
1,325,4347900
1,326,6045300
1,327,4566600
1,328,7379100
1,329,4127400
1,330,4032900
1,331,5720400
1,332,4540500
1,333,5022000
1,334,4932000
1,335,20700
1,336,5400
1,337,900
1,338,48600
1,339,86400
1,340,145800
1,341,46800
1,342,1800
1,343,900
1,344,7200
1,345,16200
1,346,282600
1,347,59400
1,348,6300
1,349,1383300
1,350,1632600
1,351,38700
1,352,22500
1,353,58500
1,354,255600
1,355,531000
1,356,703800
1,357,88200
1,358,132300
1,359,2106000
1,360,2373300
1,361,992700
1,362,223200
1,363,470700
1,364,1278900
1,365,2084400
1,366,587700
1,367,199800
1,368,205200
1,369,2689200
1,370,4465800
1,371,1151100
1,372,1011600
1,373,1155600
1,374,3339000
1,375,4997700
1,376,3687300
1,377,6069600
1,378,5385600
1,379,1907100
1,380,3105900
1,381,10467000
1,382,892800
1,383,3812400
1,384,552600
1,385,1827900
1,386,3408300
1,387,4957200
1,388,6508800
1,389,3312900
1,390,1456200
1,391,4623300
1,392,4012200
1,393,3681000
1,394,3556800
1,395,3699000
1,396,3595500
1,397,4623300
1,398,5059800
1,399,67500
1,400,217800
1,401,3898800
1,402,3192300
1,403,5743800
1,404,4248000
1,405,3600
1,406,900
1,407,15300
1,408,26100
1,409,7200
1,410,3600
1,411,15300
1,412,280800
1,413,39600
1,414,900
1,415,7200
1,416,8100
1,417,49500
1,418,5400
1,419,402300
1,420,900
1,421,900
1,422,1800
1,423,10800
1,424,571500
1,425,295200
1,426,1101600
1,427,10800
1,428,6300
1,429,295200
1,430,1521900
1,431,4093200
1,432,8883000
1,433,8207100
1,434,129600
1,435,16200
1,436,572400
1,437,5381100
1,438,6093000
1,439,8729100
1,440,3299400
1,441,3208500
1,442,2503800
1,443,7845300
1,444,5787900
1,445,4329000
1,446,2773800
1,447,3874500
1,448,5610600
1,449,3805200
1,450,7163100
1,451,6188400
1,452,1845000
1,453,1046700
1,454,1865700
1,455,1062900
1,456,4292100
1,457,1666800
1,458,1665900
1,459,19800
1,460,900
1,461,900
1,462,1800
1,463,1457100
1,464,2133000
1,465,61200
1,466,7200
1,467,900
1,468,10800
1,469,900
1,470,2700
1,471,1800
1,472,900
1,473,4500
1,474,900
1,475,900
1,476,2700
1,477,6300
1,478,594900
1,479,2700
1,480,7200
1,481,1800
1,482,1374300
1,483,6409800
1,484,13704300
1,485,4761900
1,486,2844900
1,487,39600
1,488,4281300
1,489,5193900
1,490,2529000
1,491,1116900
1,492,1926000
1,493,95400
1,494,1491300
1,495,4428000
1,496,2295000
1,497,335700
1,498,1121400
1,499,900
1,500,18000
1,501,302400
1,502,1385100
1,503,1264500
1,504,2700
1,505,1800
1,506,900
1,507,265500
1,508,2700
1,509,900
1,510,900
1,511,6300
1,512,100800
1,513,96300
1,514,1800
1,515,2700
1,516,4500
1,517,163800
1,518,270000
1,519,27000
1,520,60300
1,521,9000
1,522,16200
1,523,13500
1,524,18000
1,525,203400
1,526,900
1,527,1800
1,528,1800
1,529,900
1,530,57600
1,531,1800
1,532,900
1,533,8100
1,534,9000
1,535,15300
1,536,8100
1,537,4500
1,538,900
1,539,1800
1,540,2700
1,541,7200
1,542,3600
1,543,13500
1,544,35100
1,545,900
1,546,1800
1,547,28800
1,548,30600
1,549,34200
1,550,1800
1,551,900
1,552,1800
1,553,56700
1,554,1800
1,555,69300
1,556,26100
1,557,900
1,558,5400
1,559,14400
1,560,900
1,561,2700
1,562,11700
1,563,900
