id1	id2	boundary
1	1	15849.779064
2	2	10566.519411
2	3	2641.629830
2	4	2641.629888
3	3	10566.519190
3	4	2641.629851
4	4	10566.519400
5	5	2641.629757
5	6	2641.629888
5	7	2641.629884
5	8	2641.629830
5	9	2641.629823
5	10	2641.629849
6	6	2641.629813
6	7	2641.629830
6	10	2641.629851
6	11	2641.629851
6	331	2641.629811
7	7	5283.259638
7	8	2641.629888
7	11	2641.629888
8	8	5283.259587
8	9	2641.629851
8	15	2641.629813
9	9	7924.889668
9	15	2641.629830
10	10	7924.889602
10	331	2641.629747
11	11	7924.889436
11	12	2641.629888
12	12	7924.889584
12	330	2641.629830
12	332	2641.629747
13	13	10566.519393
13	16	2641.629757
13	25	2641.629947
14	14	10566.519376
14	15	2641.629813
14	16	2641.629954
15	15	7924.889598
16	16	7924.889465
16	25	2641.629823
17	17	13208.149218
17	18	2641.629888
18	18	7924.889489
18	34	2641.629747
18	40	2641.629811
19	19	5283.259779
19	20	2641.629888
19	21	2641.629884
19	22	2641.629830
19	23	2641.629888
20	20	7924.889570
20	21	2641.629849
20	24	2641.629757
21	21	5283.259681
21	22	2641.629813
21	24	2641.629823
22	22	5283.259606
22	23	2641.629789
22	46	2641.629954
23	23	5283.259681
23	46	2641.629732
23	48	2641.629813
24	24	7924.889563
24	25	2641.629888
25	25	7924.889438
26	26	10566.519298
26	58	2641.629830
26	59	2641.629818
27	27	2641.629888
27	28	2641.629757
27	29	2641.629928
27	30	2641.629747
27	31	2641.629851
27	32	2641.629830
28	28	2641.629849
28	29	2641.629823
28	37	2641.629851
28	38	2641.629823
28	66	2641.629830
29	30	2641.629851
29	54	2641.629888
29	65	2641.629830
29	66	2641.629851
30	30	2641.629884
30	31	2641.629830
30	54	2641.629849
30	59	2641.629888
31	31	7924.889551
31	32	2641.629813
32	32	10566.519411
33	33	2641.629830
33	34	2641.629888
33	35	2641.629757
33	36	2641.629928
33	37	2641.629747
33	38	2641.629851
34	34	5283.259714
34	35	2641.629849
34	40	2641.629851
35	35	2641.629884
35	36	2641.629823
35	40	2641.629888
35	71	2641.629830
36	37	2641.629851
36	61	2641.629888
36	70	2641.629830
36	71	2641.629851
37	38	2641.629928
37	61	2641.629849
37	66	2641.629888
38	38	7924.889475
39	39	13208.149241
39	68	2641.629823
40	40	7924.889494
41	41	5283.259681
41	42	2641.629888
41	43	2641.629757
41	44	2641.629947
41	45	2641.629823
42	42	7924.889461
42	43	2641.629751
42	47	2641.629884
43	43	5283.259714
43	44	2641.629823
43	47	2641.629954
44	44	7924.889494
44	45	2641.629851
45	45	10566.519432
46	46	7924.889527
46	48	2641.629884
47	47	7924.889610
47	48	2641.629823
48	48	7924.889417
49	49	7924.889602
49	50	2641.629851
49	51	2641.629830
49	52	2641.629888
50	50	2641.629830
50	51	2641.629813
50	57	2641.629757
50	58	2641.629888
50	84	2641.629830
51	52	2641.629884
51	74	2641.629813
51	83	2641.629830
51	84	2641.629884
52	52	5283.259606
52	74	2641.629811
52	79	2641.629747
53	54	2641.629823
53	55	2641.629851
53	56	2641.629830
53	57	2641.629954
53	58	2641.629822
53	59	2641.629849
54	55	2641.629830
54	59	2641.629757
54	65	2641.629884
55	56	2641.629813
55	64	2641.629757
55	65	2641.629888
55	86	2641.629830
56	57	2641.629757
56	81	2641.629823
56	85	2641.629830
56	86	2641.629884
57	58	2641.629751
57	81	2641.629928
57	84	2641.629747
58	58	2641.629884
58	59	2641.629888
59	59	2641.629928
60	61	2641.629888
60	62	2641.629851
60	63	2641.629830
60	64	2641.629813
60	65	2641.629884
60	66	2641.629751
61	62	2641.629830
61	66	2641.629789
61	70	2641.629884
62	63	2641.629813
62	69	2641.629757
62	70	2641.629888
62	87	2641.629830
63	63	5283.259653
63	64	2641.629757
63	87	2641.629884
64	64	2641.629849
64	65	2641.629830
64	86	2641.629888
65	66	2641.629888
67	67	5283.259681
67	68	2641.629823
67	69	2641.629813
67	70	2641.629884
67	71	2641.629849
68	68	7924.889596
68	71	2641.629757
69	69	5283.259606
69	70	2641.629830
69	87	2641.629888
70	71	2641.629888
71	71	2641.629888
72	72	7924.889504
72	77	2641.629851
72	78	2641.629813
72	107	2641.629849
73	74	2641.629823
73	75	2641.629851
73	76	2641.629830
73	77	2641.629823
73	78	2641.629757
73	79	2641.629849
74	75	2641.629928
74	79	2641.629851
74	83	2641.629851
75	76	2641.629888
75	82	2641.629789
75	83	2641.629888
75	108	2641.629849
76	76	2641.629751
76	77	2641.629851
76	106	2641.629888
76	108	2641.629789
77	78	2641.629928
77	106	2641.629830
77	107	2641.629888
78	78	5283.259714
78	79	2641.629888
79	79	5283.259714
80	80	5283.259714
80	81	2641.629888
80	82	2641.629823
80	83	2641.629757
80	84	2641.629849
81	81	2641.629830
81	84	2641.629851
81	85	2641.629851
82	82	5283.259681
82	83	2641.629849
82	108	2641.629888
83	84	2641.629888
85	85	7924.889494
85	86	2641.629888
86	86	5283.259638
87	87	7924.889527
88	88	10566.519419
88	109	2641.629888
88	111	2641.629757
89	89	5283.259638
89	90	2641.629888
89	92	2641.629789
89	93	2641.629888
89	113	2641.629849
90	90	7924.889570
90	112	2641.629849
90	113	2641.629757
91	91	10566.519338
91	92	2641.629747
91	93	2641.629851
92	92	5283.259681
92	93	2641.629830
92	113	2641.629888
93	93	7924.889400
94	94	5283.259681
94	95	2641.629888
94	96	2641.629757
94	97	2641.629830
94	98	2641.629813
95	95	7924.889461
95	96	2641.629849
95	100	2641.629851
96	96	5283.259662
96	97	2641.629747
96	100	2641.629823
97	97	7924.889589
97	98	2641.629884
98	98	10566.519357
99	99	10566.519281
99	103	2641.629757
99	104	2641.629888
100	100	10566.519531
101	101	7924.889417
101	102	2641.629888
101	103	2641.629813
101	104	2641.629851
102	102	13208.149316
103	103	7924.889537
103	104	2641.629830
104	104	7924.889461
105	105	10566.519283
105	106	2641.629888
105	107	2641.629830
106	106	5283.259714
106	107	2641.629884
107	107	5283.259580
108	108	7924.889668
109	109	13208.149241
110	110	13208.149156
110	112	2641.629813
111	111	13208.149274
112	112	7924.889565
112	113	2641.629823
113	113	5283.259779
114	114	13208.149215
114	115	2641.629849
115	115	7924.889501
115	122	2641.629830
115	123	2641.629851
116	116	10566.519392
116	118	2641.629849
116	123	2641.629888
117	118	2641.629747
117	119	2641.629851
117	120	2641.629849
117	121	2641.629888
117	122	2641.629884
117	123	2641.629830
118	118	5283.259645
118	119	2641.629928
118	123	2641.629757
119	119	5283.259674
119	120	2641.629888
119	130	2641.629830
120	121	2641.629757
120	124	2641.629823
120	129	2641.629830
120	130	2641.629884
121	121	5283.259739
121	122	2641.629830
121	124	2641.629849
122	122	5283.259580
122	123	2641.629813
123	123	2641.629830
124	124	5283.259697
124	125	2641.629830
124	129	2641.629851
125	125	5283.259598
125	128	2641.629884
125	129	2641.629888
125	135	2641.629811
126	126	5283.259664
126	127	2641.629830
126	128	2641.629888
126	129	2641.629757
126	130	2641.629830
127	127	5283.259598
127	128	2641.629884
127	132	2641.629888
127	138	2641.629849
128	129	2641.629849
128	132	2641.629830
128	135	2641.629813
129	130	2641.629888
130	130	5283.259772
131	131	5283.259697
131	132	2641.629747
131	133	2641.629851
131	134	2641.629830
131	135	2641.629830
132	133	2641.629928
132	135	2641.629851
132	138	2641.629757
133	134	2641.629888
133	137	2641.629851
133	138	2641.629747
133	146	2641.629849
134	134	2641.629851
134	139	2641.629747
134	145	2641.629811
134	146	2641.629884
135	135	5283.259739
136	136	7924.889475
136	137	2641.629851
136	141	2641.629747
136	148	2641.629928
137	137	2641.629813
137	138	2641.629811
137	141	2641.629830
137	146	2641.629888
138	138	5283.259772
139	139	10566.519451
139	145	2641.629851
140	141	2641.629888
140	142	2641.629757
140	143	2641.629849
140	144	2641.629888
140	145	2641.629851
140	146	2641.629830
141	142	2641.629849
141	146	2641.629884
141	148	2641.629851
142	143	2641.629823
142	147	2641.629851
142	148	2641.629823
142	154	2641.629830
143	143	2641.629888
143	144	2641.629789
143	153	2641.629830
143	154	2641.629851
144	144	7924.889621
144	145	2641.629830
145	145	2641.629888
145	146	2641.629813
147	147	5283.259772
147	148	2641.629928
147	150	2641.629830
147	154	2641.629888
148	148	5283.259674
149	149	2641.629888
149	150	2641.629954
149	151	2641.629789
149	152	2641.629849
149	153	2641.629884
