species,pu,amount
1,1,900
1,2,900
1,3,11700
1,4,900
1,5,900
1,6,3600
1,7,45000
1,8,21600
1,9,8100
1,10,6300
1,11,42300
1,12,21600
1,13,16200
1,14,66600
1,15,27000
1,16,15300
1,17,5400
1,18,9900
1,19,36000
1,20,900
1,21,11700
1,22,9900
1,23,64800
1,24,3600
1,25,20700
1,26,1800
1,27,2700
1,28,14400
1,29,17100
1,30,8100
1,31,12600
1,32,1800
1,33,10800
1,34,4500
1,35,30600
1,36,27000
1,37,100800
1,38,11700
1,39,7200
1,40,1800
1,41,24300
1,42,5400
1,43,28800
1,44,900
1,45,5400
1,46,2700
1,47,41400
1,48,96300
1,49,5400
1,50,5400
1,51,6300
1,52,34200
1,53,87300
1,54,6300
1,55,29700
1,56,52200
1,57,29700
1,58,12600
1,59,2700
1,60,32400
1,61,185400
1,62,36000
1,63,6300
1,64,33300
1,65,18000
1,66,34200
1,67,22500
1,68,26100
1,69,32400
1,70,42300
1,71,24300
1,72,10800
1,73,8100
1,74,8100
1,75,63000
1,76,356400
1,77,32400
1,78,4500
1,79,4500
1,80,9900
1,81,31500
1,82,29700
1,83,15300
1,84,16200
1,85,19800
1,86,5400
1,87,9000
1,88,4500
1,89,5400
1,90,35100
1,91,11700
1,92,41400
1,93,11700
1,94,23400
1,95,96300
1,96,18900
1,97,2700
1,98,10800
1,99,24300
1,100,4500
1,101,8100
1,102,2700
1,103,6300
1,104,1800
1,105,22500
1,106,46800
1,107,225000
1,108,33300
1,109,8100
1,110,1800
1,111,10800
1,112,614700
1,113,21600
1,114,19800
1,115,308700
1,116,160200
1,117,65700
1,118,55800
1,119,16200
1,120,25200
1,121,112500
1,122,201600
1,123,8100
1,124,10800
1,125,28800
1,126,900
1,127,4500
1,128,17100
1,129,351900
1,130,9900
1,131,312300
1,132,158400
1,133,36900
1,134,278100
1,135,17100
1,136,7200
1,137,7200
1,138,4500
1,139,3600
1,140,14400
1,141,34200
1,142,32400
1,143,144000
1,144,38700
1,145,52200
1,146,31500
1,147,11700
1,148,8100
1,149,107100
1,150,900
1,151,147600
1,152,207000
1,153,43200
1,154,125100
1,155,86400
1,157,38700
1,158,127800
1,159,48600
1,160,280800
1,161,393300
1,162,91800
1,163,66600
1,164,204300
1,165,45000
1,166,900
1,167,20700
1,168,22500
1,169,14400
1,170,38700
1,171,111600
1,172,5400
1,173,7200
1,174,1800
1,175,1800
1,176,6300
1,177,93600
1,178,4500
1,179,9900
1,180,57600
1,181,7200
1,182,43200
1,183,6300
1,184,8100
1,185,6300
1,186,4500
1,187,2700
1,188,90900
1,189,9900
1,190,55800
1,191,1800
1,192,36900
1,193,26100
1,194,8100
1,195,84600
1,196,4500
1,197,26100
1,198,237600
1,199,3600
1,200,6300
1,201,3600
1,202,58500
1,203,14400
1,204,68400
1,205,7200
1,206,131400
1,207,78300
1,208,30600
1,209,10800
1,210,18900
1,211,84600
1,212,204300
1,213,18000
1,214,464400
1,215,3600
1,216,18900
1,217,900
1,218,6300
1,219,14400
1,220,236700
1,221,71100
1,222,472500
1,223,161100
1,224,11700
1,225,429300
1,226,86400
1,227,141300
1,228,44100
1,230,57600
1,231,13500
1,232,154800
1,233,238500
1,234,6300
1,235,10800
1,236,655200
1,237,29700
1,238,10800
1,239,48600
1,240,46800
1,241,21600
1,242,1800
1,243,101700
1,244,265500
1,245,45900
1,246,21600
1,247,256500
1,248,114300
1,249,78300
1,250,5400
1,251,8100
1,252,50400
1,253,16200
1,254,54000
1,255,32400
1,256,22500
1,257,19800
1,258,32400
1,259,72000
1,260,85500
1,261,35100
1,262,333000
1,263,33300
1,264,148500
1,265,80100
1,266,12600
1,267,4500
1,268,337500
1,269,64800
1,270,77400
1,271,100800
1,272,113400
1,273,41400
1,274,22500
1,275,14400
1,276,30600
1,277,61200
1,278,156600
1,279,134100
1,280,19800
1,281,48600
1,282,900
1,283,3600
1,284,26100
1,285,118800
1,286,44100
1,287,10800
1,288,39600
1,289,900
1,290,1800
1,291,900
1,292,11700
1,293,2700
1,294,29700
1,295,11700
1,296,7200
1,297,2700
1,298,6300
1,299,8100
1,300,900
1,301,44100
1,302,8100
1,303,6300
1,304,9900
1,305,1800
1,306,162000
1,307,211500
1,308,9000
1,309,2700
1,310,81000
1,311,6300
1,312,8100
1,313,1800
1,314,900
1,315,900
1,316,6300
1,317,900
1,318,68400
1,319,900
1,320,30600
1,321,1800
1,322,6300
1,323,900
1,324,3600
1,325,5400
1,326,3600
1,327,900
1,328,900
1,329,4500
1,330,26100
1,331,4500
1,332,1800
1,333,34200
1,334,54900
