species	pu	amount
1	1	6300.000000
1	2	1800.000000
1	3	348300.000000
1	4	11700.000000
1	5	26100.000000
1	6	1800.000000
1	7	900.000000
1	8	3600.000000
1	9	29700.000000
1	10	3600.000000
1	11	900.000000
1	12	14400.000000
1	14	16200.000000
1	15	49500.000000
1	16	50400.000000
1	17	7200.000000
1	18	114300.000000
1	19	63900.000000
1	20	39600.000000
1	21	99900.000000
1	22	13500.000000
1	23	29700.000000
1	24	154800.000000
1	25	190800.000000
1	26	95400.000000
1	27	9000.000000
1	28	193500.000000
1	29	115200.000000
1	30	29700.000000
1	31	9900.000000
1	32	149400.000000
1	33	1800.000000
1	34	900.000000
1	35	900.000000
1	36	900.000000
1	37	900.000000
1	38	3600.000000
1	39	63900.000000
1	40	181800.000000
1	41	10800.000000
1	42	900.000000
1	43	22500.000000
1	44	35100.000000
1	45	749700.000000
1	46	213300.000000
1	47	181800.000000
1	48	224100.000000
1	49	158400.000000
1	50	585900.000000
1	51	94500.000000
1	52	539100.000000
1	53	161100.000000
1	54	289800.000000
1	55	762300.000000
1	56	28800.000000
1	57	108900.000000
1	58	233100.000000
1	59	171900.000000
1	60	25200.000000
1	61	86400.000000
1	62	142200.000000
1	63	117000.000000
1	64	87300.000000
1	65	375300.000000
1	66	73800.000000
1	67	211500.000000
1	68	1103400.000000
1	69	735300.000000
1	70	1800.000000
1	71	4500.000000
1	72	1800.000000
1	73	1800.000000
1	74	900.000000
1	75	9000.000000
1	76	377100.000000
1	77	54900.000000
1	78	900.000000
1	79	2700.000000
1	80	43200.000000
1	81	31500.000000
1	82	60300.000000
1	83	2700.000000
1	84	8100.000000
1	85	4500.000000
1	86	8100.000000
1	87	8100.000000
1	88	240300.000000
1	89	221400.000000
1	90	409500.000000
1	91	900.000000
1	92	8100.000000
1	93	120600.000000
1	94	232200.000000
1	95	31500.000000
1	96	53100.000000
1	97	1351800.000000
1	98	565200.000000
1	99	884700.000000
1	100	190800.000000
1	101	630900.000000
1	102	588600.000000
1	103	1314900.000000
1	104	869400.000000
1	105	199800.000000
1	106	384300.000000
1	107	496800.000000
1	108	725400.000000
1	109	1296900.000000
1	110	759600.000000
1	111	1247400.000000
1	112	1977300.000000
1	113	346500.000000
1	114	463500.000000
1	115	327600.000000
1	116	4500.000000
1	117	67500.000000
1	118	1055700.000000
1	119	1175400.000000
1	120	144900.000000
1	121	1037700.000000
1	122	1800.000000
1	123	9000.000000
1	124	3600.000000
1	125	111600.000000
1	126	3600.000000
1	127	154800.000000
1	128	592200.000000
1	129	12600.000000
1	130	5400.000000
1	131	155700.000000
1	132	5400.000000
1	133	900.000000
1	134	1800.000000
1	135	1800.000000
1	136	1324800.000000
1	137	1000800.000000
1	138	134100.000000
1	139	19800.000000
1	140	51300.000000
1	141	900.000000
1	142	290700.000000
1	143	959400.000000
1	144	931500.000000
1	145	616500.000000
1	146	306900.000000
1	147	478800.000000
1	148	57600.000000
1	149	4097700.000000
1	150	2531700.000000
1	151	4194900.000000
1	152	5762700.000000
1	153	2951100.000000
1	154	1973700.000000
1	155	2115900.000000
1	156	2094300.000000
1	157	2024100.000000
1	158	2189700.000000
1	159	2205000.000000
1	160	6469200.000000
1	161	2950200.000000
1	162	1768500.000000
1	163	949500.000000
1	164	4502700.000000
1	165	2256300.000000
1	166	1269000.000000
1	167	1067400.000000
1	168	1737000.000000
1	169	2186100.000000
1	170	528300.000000
1	171	398700.000000
1	172	1323900.000000
1	173	2720700.000000
1	174	2136600.000000
1	175	1274400.000000
1	176	232200.000000
1	177	333000.000000
1	178	9000.000000
1	179	111600.000000
1	180	346500.000000
1	181	980100.000000
1	182	87300.000000
1	183	36000.000000
1	184	374400.000000
1	185	44100.000000
1	186	726300.000000
1	187	219600.000000
1	188	23400.000000
1	189	231300.000000
1	190	900.000000
1	191	7200.000000
1	192	900.000000
1	193	2997900.000000
1	194	216900.000000
1	195	4104900.000000
1	196	5585400.000000
1	197	7304400.000000
1	198	1254600.000000
1	199	438300.000000
1	200	1389600.000000
1	201	1527300.000000
1	202	638100.000000
1	203	3561300.000000
1	204	5148000.000000
1	205	1212300.000000
1	206	925200.000000
1	207	4079700.000000
1	208	4582800.000000
1	209	3950100.000000
1	210	4346100.000000
1	211	3187800.000000
1	212	3247200.000000
1	213	1656900.000000
1	214	3586500.000000
1	215	2162700.000000
1	216	2134800.000000
1	217	4057200.000000
1	218	2695500.000000
1	219	3321000.000000
1	220	3229200.000000
1	221	1734300.000000
1	222	1898100.000000
1	223	2839500.000000
1	224	3655800.000000
1	225	3310200.000000
1	226	2269800.000000
1	227	2530800.000000
1	228	4267800.000000
1	229	1322100.000000
1	230	1201500.000000
1	231	2841300.000000
1	232	2577600.000000
1	233	2633400.000000
1	234	3783600.000000
1	235	1567800.000000
1	236	2365200.000000
1	237	2582100.000000
1	238	2926800.000000
1	239	2126700.000000
1	240	1809900.000000
1	241	1901700.000000
1	242	1461600.000000
1	243	322200.000000
1	244	340200.000000
1	245	1087200.000000
1	246	1841400.000000
1	247	153000.000000
1	248	335700.000000
1	249	63000.000000
1	250	900.000000
1	251	1270800.000000
1	252	395100.000000
1	253	91800.000000
1	254	30600.000000
1	255	15300.000000
1	256	900.000000
1	257	19800.000000
1	258	404100.000000
1	259	357300.000000
1	260	24300.000000
1	261	9900.000000
1	262	26100.000000
1	263	5400.000000
1	264	9000.000000
1	265	5400.000000
1	266	10800.000000
1	267	1385100.000000
1	268	4870800.000000
1	269	2636100.000000
1	270	1071000.000000
1	271	3843000.000000
1	272	3537000.000000
1	273	1050300.000000
1	274	2006100.000000
1	275	4028400.000000
1	276	5275800.000000
1	277	5290200.000000
1	278	4831200.000000
1	279	4211100.000000
1	280	2694600.000000
1	281	4913100.000000
1	282	4968900.000000
1	283	6932700.000000
1	284	4279500.000000
1	285	6220800.000000
1	286	5321700.000000
1	287	1827900.000000
1	288	6222600.000000
1	289	4521600.000000
1	290	4201200.000000
1	291	6606900.000000
1	292	8557200.000000
1	293	7095600.000000
1	294	3428100.000000
1	295	2246400.000000
1	296	2832300.000000
1	297	2601000.000000
1	298	260100.000000
1	299	3110400.000000
1	300	2496600.000000
1	301	1120500.000000
1	302	1732500.000000
1	303	1703700.000000
1	304	2316600.000000
1	305	2488500.000000
1	306	1984500.000000
1	307	4285800.000000
1	308	2325600.000000
1	309	665100.000000
1	310	1481400.000000
1	311	457200.000000
1	312	236700.000000
1	313	995400.000000
1	314	1604700.000000
1	315	828900.000000
1	316	407700.000000
1	317	225900.000000
1	318	637200.000000
1	319	454500.000000
1	320	297900.000000
1	321	324000.000000
1	322	891000.000000
1	323	20700.000000
1	324	94500.000000
1	325	171900.000000
1	326	111600.000000
1	327	12600.000000
1	328	258300.000000
1	329	349200.000000
1	330	598500.000000
1	331	64800.000000
1	332	454500.000000
1	333	286200.000000
1	334	618300.000000
1	335	36900.000000
1	336	19800.000000
1	337	9000.000000
1	338	4500.000000
1	339	123300.000000
1	340	68400.000000
1	341	11700.000000
1	342	2700.000000
1	343	1800.000000
1	344	2550600.000000
1	345	2085300.000000
1	346	3593700.000000
1	347	1728900.000000
1	348	4848300.000000
1	349	3901500.000000
1	350	4900500.000000
1	351	3873600.000000
1	352	4138200.000000
1	353	4239900.000000
1	354	6088500.000000
1	355	4401900.000000
1	356	1782900.000000
1	357	2080800.000000
1	358	5461200.000000
1	359	5702400.000000
1	360	6178500.000000
1	361	7402500.000000
1	362	5526000.000000
1	363	3343500.000000
1	364	7062300.000000
1	365	5259600.000000
1	366	6110100.000000
1	367	5153400.000000
1	368	5511600.000000
1	369	6430500.000000
1	370	3384900.000000
1	371	9711900.000000
1	372	5515200.000000
1	373	1672200.000000
1	374	1233000.000000
1	375	2747700.000000
1	376	8928000.000000
1	377	7901100.000000
1	378	5650200.000000
1	379	2524500.000000
1	380	2375100.000000
1	381	1907100.000000
1	382	1805400.000000
1	383	639000.000000
1	384	618300.000000
1	385	2069100.000000
1	386	2399400.000000
1	387	2853900.000000
1	388	1817100.000000
1	389	1175400.000000
1	390	945000.000000
1	391	3028500.000000
1	392	1769400.000000
1	393	582300.000000
1	394	64800.000000
1	395	148500.000000
1	396	815400.000000
1	397	1546200.000000
1	398	854100.000000
1	399	545400.000000
1	400	1605600.000000
1	401	342000.000000
1	402	365400.000000
1	403	1182600.000000
1	404	1182600.000000
1	405	1412100.000000
1	406	1191600.000000
1	407	162900.000000
1	408	321300.000000
1	409	99900.000000
1	410	63000.000000
1	411	234000.000000
1	412	404100.000000
1	413	866700.000000
1	414	42300.000000
1	415	24300.000000
1	416	18000.000000
1	417	10800.000000
1	418	63900.000000
1	419	291600.000000
1	420	102600.000000
1	421	16200.000000
1	422	1800.000000
1	423	31500.000000
1	424	27000.000000
1	425	1800.000000
1	426	1800.000000
1	427	1800.000000
1	428	91800.000000
1	429	4379400.000000
1	430	3033900.000000
1	431	1998000.000000
1	432	4008600.000000
1	433	7658100.000000
1	434	8185500.000000
1	435	9191700.000000
1	436	4912200.000000
1	437	731700.000000
1	438	5246100.000000
1	439	10156500.000000
1	440	5913900.000000
1	441	11733300.000000
1	442	11530800.000000
1	443	12402900.000000
1	444	8366400.000000
1	445	7191000.000000
1	446	6533100.000000
1	447	7141500.000000
1	448	8513100.000000
1	449	6722100.000000
1	450	7932600.000000
1	451	7371900.000000
1	452	7853400.000000
1	453	8649900.000000
1	454	7120800.000000
1	455	4620600.000000
1	456	5322600.000000
1	457	10286100.000000
1	458	9502200.000000
1	459	8204400.000000
1	460	714600.000000
1	461	957600.000000
1	462	732600.000000
1	463	1380600.000000
1	464	1179000.000000
1	465	1800900.000000
1	466	944100.000000
1	467	1575000.000000
1	468	1224900.000000
1	469	2297700.000000
1	470	1080900.000000
1	471	847800.000000
1	472	1754100.000000
1	473	1660500.000000
1	474	1948500.000000
1	475	1449000.000000
1	476	720000.000000
1	477	598500.000000
1	478	895500.000000
1	479	949500.000000
1	480	574200.000000
1	481	180000.000000
1	482	838800.000000
1	483	719100.000000
1	484	1529100.000000
1	485	613800.000000
1	486	110700.000000
1	487	105300.000000
1	488	117000.000000
1	489	89100.000000
1	490	30600.000000
1	491	57600.000000
1	492	370800.000000
1	493	1028700.000000
1	494	513000.000000
1	495	47700.000000
1	496	12600.000000
1	497	277200.000000
1	498	60300.000000
1	499	18900.000000
1	500	27000.000000
1	501	29700.000000
1	502	196200.000000
1	503	65700.000000
1	504	121500.000000
1	505	42300.000000
1	506	155700.000000
1	507	109800.000000
1	508	131400.000000
1	509	1800.000000
1	510	6300.000000
1	511	39600.000000
1	512	9000.000000
1	513	900.000000
1	514	900.000000
1	515	2150100.000000
1	516	10847700.000000
1	517	6274800.000000
1	518	227700.000000
1	519	2070000.000000
1	520	10492200.000000
1	521	10665000.000000
1	522	10885500.000000
1	523	6923700.000000
1	524	5511600.000000
1	525	9665100.000000
1	526	13224600.000000
1	527	10874700.000000
1	528	9944100.000000
1	529	11096100.000000
1	530	8559900.000000
1	531	10744200.000000
1	532	11243700.000000
1	533	13446900.000000
1	534	11187900.000000
1	535	7725600.000000
1	536	7671600.000000
1	537	5296500.000000
1	538	6178500.000000
1	539	6062400.000000
1	540	9282600.000000
1	541	4071600.000000
1	542	3599100.000000
1	543	2079900.000000
1	544	3808800.000000
1	545	5974200.000000
1	546	3832200.000000
1	547	2787300.000000
1	548	1958400.000000
1	549	2223000.000000
1	550	1654200.000000
1	551	2393100.000000
1	552	2433600.000000
1	553	1020600.000000
1	554	2096100.000000
1	555	924300.000000
1	556	207000.000000
1	557	1794600.000000
1	558	750600.000000
1	559	1008900.000000
1	560	873900.000000
1	561	437400.000000
1	562	862200.000000
1	563	1077300.000000
1	564	2628000.000000
1	565	3135600.000000
1	566	1658700.000000
1	567	738000.000000
1	568	863100.000000
1	569	1719900.000000
1	570	435600.000000
1	571	858600.000000
1	572	2620800.000000
1	573	772200.000000
1	574	468900.000000
1	575	466200.000000
1	576	75600.000000
1	577	28800.000000
1	578	25200.000000
1	579	94500.000000
1	580	420300.000000
1	581	520200.000000
1	582	41400.000000
1	583	75600.000000
1	584	135900.000000
1	585	51300.000000
1	586	1800.000000
1	587	166500.000000
1	588	273600.000000
1	589	27900.000000
1	590	2700.000000
1	591	36000.000000
1	592	30600.000000
1	593	14400.000000
1	594	89100.000000
1	595	346500.000000
1	596	23400.000000
1	597	1800.000000
1	598	2700.000000
1	599	10800.000000
1	600	5400.000000
1	601	900.000000
1	602	3600.000000
1	603	2538900.000000
1	604	2730600.000000
1	605	2081700.000000
1	606	1827000.000000
1	607	135900.000000
1	608	86400.000000
1	609	930600.000000
1	610	8280900.000000
1	611	6736500.000000
1	612	3233700.000000
1	613	1809000.000000
1	614	2853900.000000
1	615	7630200.000000
1	616	12792600.000000
1	617	13290300.000000
1	618	8620200.000000
1	619	9762300.000000
1	620	8593200.000000
1	621	7795800.000000
1	622	9321300.000000
1	623	10697400.000000
1	624	5156100.000000
1	625	5354100.000000
1	626	2228400.000000
1	627	1741500.000000
1	628	6648300.000000
1	629	8962200.000000
1	630	7524000.000000
1	631	1537200.000000
1	632	2401200.000000
1	633	1268100.000000
1	634	2312100.000000
1	635	1724400.000000
1	636	2216700.000000
1	637	3107700.000000
1	638	3870000.000000
1	639	1088100.000000
1	640	3410100.000000
1	641	3240900.000000
1	642	4345200.000000
1	643	1992600.000000
1	644	1466100.000000
1	645	662400.000000
1	646	572400.000000
1	647	735300.000000
1	648	783900.000000
1	649	2016900.000000
1	650	660600.000000
1	651	1093500.000000
1	652	302400.000000
1	653	2567700.000000
1	654	344700.000000
1	655	263700.000000
1	656	326700.000000
1	657	1716300.000000
1	658	707400.000000
1	659	3036600.000000
1	660	13500.000000
1	661	314100.000000
1	662	1892700.000000
1	663	2670300.000000
1	664	477900.000000
1	665	613800.000000
