id1	id2	boundary
1	1	7924.889494
1	2	2641.629757
1	5	2641.629830
1	266	2641.629888
2	2	5283.259672
2	251	2641.629789
2	266	2641.629849
2	269	2641.629888
3	3	7924.889602
3	4	2641.629851
3	9	2641.629811
3	277	2641.629747
4	4	5283.259711
4	5	2641.629849
4	267	2641.629757
4	277	2641.629928
5	5	5283.259678
5	266	2641.629884
5	267	2641.629888
6	6	7924.889475
6	7	2641.629928
6	8	2641.629747
6	9	2641.629851
7	7	5283.259598
7	8	2641.629851
7	11	2641.629849
7	291	2641.629888
8	9	2641.629830
8	278	2641.629884
8	291	2641.629830
8	295	2641.629813
9	9	2641.629813
9	277	2641.629851
9	278	2641.629888
10	10	5283.259645
10	11	2641.629830
10	13	2641.629849
10	16	2641.629888
10	292	2641.629851
11	11	5283.259772
11	291	2641.629884
11	292	2641.629813
12	12	5283.259504
12	13	2641.629888
12	14	2641.629928
12	15	2641.629757
12	16	2641.629849
13	13	7924.889504
13	16	2641.629789
14	14	10566.519414
14	17	2641.629830
15	15	5283.259643
15	16	2641.629888
15	293	2641.629830
15	316	2641.629851
16	292	2641.629830
16	293	2641.629884
17	17	13208.149375
18	18	10566.519307
18	19	2641.629757
18	20	2641.629830
19	19	2641.629830
19	20	2641.629888
19	432	2641.629830
19	477	2641.629851
19	478	2641.629813
20	20	7924.889602
20	432	2641.629884
21	21	5283.259569
21	22	2641.629849
21	23	2641.629888
21	24	2641.629851
21	25	2641.629811
22	22	5283.259674
22	23	2641.629884
22	27	2641.629813
22	33	2641.629830
23	24	2641.629830
23	27	2641.629830
23	31	2641.629888
23	870	2641.629884
24	25	2641.629747
24	866	2641.629928
24	869	2641.629851
24	870	2641.629813
25	25	5283.259772
25	865	2641.629830
25	866	2641.629851
26	26	2641.629813
26	27	2641.629888
26	28	2641.629884
26	29	2641.629830
26	30	2641.629884
26	31	2641.629849
27	28	2641.629830
27	31	2641.629757
27	33	2641.629851
28	29	2641.629888
28	32	2641.629851
28	33	2641.629747
28	42	2641.629849
29	29	2641.629851
29	34	2641.629747
29	41	2641.629928
29	42	2641.629757
30	30	7924.889410
30	31	2641.629888
30	871	2641.629830
31	870	2641.629830
31	871	2641.629851
32	32	5283.259664
32	33	2641.629811
32	37	2641.629830
32	42	2641.629888
33	33	5283.259772
34	34	7924.889527
34	35	2641.629830
34	41	2641.629851
35	35	5283.259598
35	40	2641.629884
35	41	2641.629888
35	47	2641.629811
36	37	2641.629813
36	38	2641.629851
36	39	2641.629830
36	40	2641.629888
36	41	2641.629757
36	42	2641.629830
37	37	5283.259678
37	38	2641.629830
37	42	2641.629884
38	38	7924.889573
38	39	2641.629747
39	39	2641.629851
39	40	2641.629884
39	44	2641.629888
39	49	2641.629849
40	41	2641.629849
40	44	2641.629830
40	47	2641.629813
41	42	2641.629823
43	43	5283.259772
43	44	2641.629888
43	45	2641.629789
43	46	2641.629849
43	47	2641.629830
44	45	2641.629849
44	47	2641.629851
44	49	2641.629757
45	46	2641.629888
45	48	2641.629851
45	49	2641.629823
45	58	2641.629830
46	46	2641.629757
46	52	2641.629823
46	57	2641.629928
46	58	2641.629851
47	47	5283.259739
48	48	7924.889494
48	49	2641.629830
48	58	2641.629888
49	49	5283.259772
50	50	7924.889602
50	60	2641.629888
50	71	2641.629830
50	72	2641.629851
51	51	7924.889570
51	52	2641.629888
51	53	2641.629757
51	54	2641.629849
52	52	5283.259638
52	53	2641.629849
52	57	2641.629757
53	54	2641.629823
53	56	2641.629884
53	57	2641.629888
53	78	2641.629830
54	54	2641.629789
54	67	2641.629888
54	77	2641.629830
54	78	2641.629851
55	55	7924.889494
55	56	2641.629888
55	57	2641.629851
55	58	2641.629830
56	56	2641.629884
56	57	2641.629830
56	74	2641.629830
56	78	2641.629888
57	58	2641.629747
58	58	2641.629789
59	60	2641.629823
59	61	2641.629851
59	62	2641.629830
59	63	2641.629813
59	64	2641.629884
59	65	2641.629849
60	60	2641.629849
60	61	2641.629830
60	65	2641.629757
60	71	2641.629884
61	62	2641.629888
61	70	2641.629757
61	71	2641.629888
61	82	2641.629849
62	62	5283.259559
62	63	2641.629851
62	82	2641.629884
63	63	7924.889475
63	64	2641.629830
64	64	7924.889602
64	65	2641.629888
65	65	7924.889570
66	67	2641.629823
66	68	2641.629851
66	69	2641.629830
66	70	2641.629813
66	71	2641.629884
66	72	2641.629849
67	67	2641.629849
67	68	2641.629928
67	72	2641.629757
67	77	2641.629851
68	69	2641.629888
68	76	2641.629851
68	77	2641.629747
68	89	2641.629849
69	70	2641.629851
69	80	2641.629747
69	88	2641.629811
69	89	2641.629884
70	71	2641.629830
70	80	2641.629830
70	82	2641.629888
71	72	2641.629888
72	72	5283.259719
73	73	2641.629884
73	74	2641.629888
73	75	2641.629830
73	76	2641.629813
73	77	2641.629884
73	78	2641.629849
74	74	7924.889494
74	78	2641.629757
75	75	7924.889573
75	76	2641.629851
75	84	2641.629747
76	77	2641.629811
76	84	2641.629830
76	89	2641.629888
77	78	2641.629888
79	79	7924.889508
79	80	2641.629813
79	81	2641.629851
79	82	2641.629830
80	81	2641.629830
80	82	2641.629884
80	88	2641.629851
81	81	2641.629747
81	87	2641.629884
81	88	2641.629888
81	97	2641.629811
82	82	2641.629813
83	84	2641.629813
83	85	2641.629851
83	86	2641.629830
83	87	2641.629888
83	88	2641.629757
83	89	2641.629830
84	84	2641.629851
84	85	2641.629830
84	89	2641.629884
85	85	7924.889583
85	86	2641.629747
86	86	2641.629851
86	87	2641.629884
86	92	2641.629888
86	98	2641.629849
87	88	2641.629849
87	92	2641.629830
87	97	2641.629813
88	89	2641.629813
90	90	10566.519317
90	104	2641.629830
90	105	2641.629884
91	92	2641.629747
91	93	2641.629851
91	94	2641.629849
91	95	2641.629888
91	96	2641.629884
91	97	2641.629830
92	93	2641.629928
92	97	2641.629851
92	98	2641.629757
93	93	5283.259681
93	94	2641.629888
93	98	2641.629823
94	94	5283.259714
94	95	2641.629757
94	107	2641.629823
95	95	2641.629851
95	96	2641.629830
95	107	2641.629849
95	111	2641.629888
96	96	7924.889546
96	97	2641.629888
97	97	2641.629851
98	98	7924.889602
99	100	2641.629888
99	101	2641.629757
99	102	2641.629928
99	103	2641.629747
99	104	2641.629851
99	105	2641.629830
100	100	5283.259672
100	101	2641.629849
100	105	2641.629789
100	110	2641.629757
101	102	2641.629823
101	109	2641.629884
101	110	2641.629888
101	123	2641.629830
102	103	2641.629851
102	115	2641.629888
102	122	2641.629830
102	123	2641.629851
103	103	2641.629884
103	104	2641.629830
103	115	2641.629849
103	117	2641.629888
104	104	5283.259645
104	105	2641.629813
105	105	5283.259719
106	106	2641.629757
106	107	2641.629888
106	108	2641.629928
106	109	2641.629747
106	110	2641.629851
106	111	2641.629830
107	107	5283.259606
107	111	2641.629789
108	108	7924.889504
108	109	2641.629851
108	119	2641.629888
109	110	2641.629830
109	119	2641.629849
109	123	2641.629888
110	110	2641.629830
110	111	2641.629813
111	111	5283.259714
112	112	5283.259719
112	113	2641.629884
112	128	2641.629830
112	129	2641.629789
112	1029	2641.629813
113	113	2641.629888
113	114	2641.629849
113	980	2641.629757
113	1029	2641.629830
113	1032	2641.629823
114	114	10566.519312
114	980	2641.629888
115	115	2641.629823
115	116	2641.629830
115	117	2641.629757
115	122	2641.629884
116	116	7924.889589
116	121	2641.629757
116	122	2641.629888
117	117	10566.519419
118	118	2641.629851
