species,pu,amount
1,1,5400
1,2,11700
1,3,900
1,4,974700
1,5,61200
1,6,162000
1,7,1311300
1,8,185400
1,9,1920600
1,10,100800
1,11,566100
1,12,1029600
1,13,27900
1,14,86400
1,15,9000
1,16,242100
1,17,741600
1,18,8100
1,19,28800
1,20,27900
1,21,377100
1,22,280800
1,23,1233900
1,24,334800
1,25,991800
1,26,380700
1,27,1068300
1,28,252900
1,29,424800
1,30,22500
1,31,12600
1,32,135000
1,33,139500
1,34,4500
1,35,114300
1,36,636300
1,37,40500
1,38,63900
1,39,1827900
1,40,364500
1,41,855900
1,42,175500
1,43,4709700
1,44,1402200
1,45,5056200
1,46,6939000
1,47,342000
1,48,15300
1,49,149400
1,50,1800
1,51,555300
1,52,2935800
1,53,10841400
1,54,5410800
1,55,63000
1,56,63900
1,57,3690900
1,58,318600
1,59,207000
1,60,35100
1,61,629100
1,62,19800
1,63,6300
1,64,5400
1,65,900
1,66,9151200
1,67,557100
1,68,6722100
1,69,6057000
1,70,6901200
1,71,1489500
1,72,3600
1,73,1681200
1,74,202500
1,75,189000
1,76,8227800
1,77,1684800
1,78,459900
1,79,1800
1,80,7124400
1,81,1240200
1,82,990000
1,83,6234300
1,84,2754900
1,85,2893500
1,86,3255300
1,87,4418100
1,88,9184500
1,89,657000
1,90,793800
1,91,6812100
1,92,3414600
1,93,305100
1,94,1732500
1,95,3795300
1,96,2655900
1,97,2755800
1,98,397800
1,99,10998000
1,100,507600
1,101,7900200
1,102,14242500
1,103,4667400
1,104,2391300
1,105,1104300
1,106,5734800
1,107,2763000
1,108,68400
1,109,1962900
1,110,1600200
1,111,2763000
1,112,285300
1,113,2122200
1,114,1806300
1,115,1232100
1,116,837900
1,117,81000
1,118,7769700
1,119,2341800
1,120,3677400
1,121,2791800
1,122,5529600
1,123,7233300
1,124,6254100
1,125,2820600
1,126,4926600
1,127,3935700
1,128,4700700
1,129,756900
1,130,3373200
1,131,6006600
1,132,3967200
1,133,7722900
1,134,9900
1,135,645300
1,136,900
1,137,8100
1,138,3760200
1,139,7332300
1,140,3884400
1,141,1445400
1,142,2302200
1,143,2157300
1,144,378900
1,145,4486500
1,146,891000
1,147,7200
1,148,16200
1,149,3202200
1,150,751500
1,151,201600
1,152,1040400
1,153,5246100
1,154,2809800
1,155,141300
1,156,495900
1,157,3600
1,158,35100
1,159,9000
1,160,1434600
1,161,1700100
1,162,1069200
1,163,14400
1,164,396000
1,165,739800
1,166,5597100
1,167,363600
1,168,21600
1,169,130500
1,170,1269000
1,171,2223000
1,172,9015300
1,173,7682400
1,174,5400
1,175,1800
1,176,4908600
1,177,415800
1,178,18000
1,179,1080900
1,180,4253400
1,181,237600
1,182,1459800
1,183,151200
1,184,2097900
1,185,7082100
1,186,44100
1,187,36900
1,188,3600
1,189,212400
1,190,26100
1,191,11700
1,192,1800
1,193,34200
1,194,14400
1,195,32400
1,196,147600
1,197,8100
1,198,16200
1,199,5400
1,200,41400
1,201,21600
1,202,38700
1,203,29700
1,204,224100
1,205,1800
1,206,31500
1,207,12600
1,208,1800
1,209,12600
1,210,9000
1,211,2700
1,212,2286900
1,213,223200
1,214,3600
1,215,900
1,216,900
1,217,348300
1,218,452700
1,219,2700
1,220,104400
1,221,6300
1,222,64800
1,223,360000
1,224,11700
1,225,9000
1,226,85500
1,227,27000
1,228,113400
1,229,210600
1,230,60300
1,231,29700
1,232,30600
1,233,104400
1,234,828900
1,235,361800
1,236,7200
1,237,266400
1,238,249300
1,239,124200
1,240,67500
1,241,22500
1,242,1296900
1,243,632700
1,244,286200
1,245,1602000
1,246,1800
1,247,78300
1,248,687600
1,249,216900
1,250,47700
1,251,3600
1,252,373500
1,253,82800
1,254,3600
1,255,3600
1,256,7200
1,257,6300
1,258,64800
1,259,1906200
1,260,93600
1,261,26100
1,262,2700
1,263,83700
1,264,414900
1,265,31500
1,266,1800
1,267,395100
1,268,11700
1,269,42300
1,270,154800
1,271,39600
1,272,5400
1,273,6300
1,274,1800
1,275,345600
1,276,900
1,277,101700
1,278,568800
1,279,67500
1,280,128700
1,281,3600
1,282,21600
1,283,11700
1,284,357300
1,285,186300
1,286,150300
1,287,656100
1,288,9000
1,289,493200
1,290,900
1,291,598500
1,292,270900
1,293,59400
1,294,28800
1,295,504900
1,296,900
1,297,67500
1,298,96300
1,299,541800
1,300,473400
1,301,816300
1,302,117000
1,303,16200
1,304,166500
1,305,739800
1,306,6350400
1,307,1308600
1,308,243000
1,309,74700
1,310,182700
1,311,326700
1,312,256500
1,313,1134000
1,314,793800
1,315,194400
1,316,514800
1,317,295200
1,318,108900
1,319,316800
1,320,17100
1,321,900
1,322,211500
1,323,32400
1,324,7200
1,325,15300
1,326,2700
1,327,23400
1,328,444600
1,329,72900
1,330,8100
1,331,5400
1,332,230400
1,333,117900
1,334,552600
1,335,26100
1,336,11700
1,337,124200
1,338,85500
1,339,195300
1,340,38700
1,341,65700
1,342,58500
1,343,129600
1,344,240300
1,345,12600
1,346,29700
1,347,36900
1,348,68400
1,349,147600
1,350,29700
1,351,93600
1,352,260100
1,353,1800
1,354,4500
1,355,13500
1,356,5400
1,357,2700
1,358,100800
1,359,230400
1,360,229500
1,361,369000
1,362,76500
1,363,6300
1,364,106200
1,365,900
1,366,900
1,367,55800
1,368,44100
1,369,11700
1,370,7200
1,371,57600
1,372,608400
1,373,690300
1,374,7200
1,375,131400
1,376,900
1,377,81000
1,378,138600
1,379,159300
1,380,126000
1,381,135900
1,382,52200
1,383,43200
1,384,29700
1,385,42300
1,386,233100
1,387,20700
1,388,562500
1,389,171900
1,390,55800
1,391,129600
1,392,80100
1,393,14400
1,394,78300
1,396,9000
1,397,63000
1,398,37800
1,399,68400
1,400,2700
1,401,4500
1,402,15300
1,403,306000
1,404,106200
1,405,1800
1,406,13500
1,407,9000
1,408,272700
1,409,647100
1,410,905400
1,411,1194300
1,412,243900
1,413,1097100
1,414,1632600
1,415,44100
1,416,20700
1,417,108900
1,418,67500
1,419,4500
1,420,112500
1,421,42300
1,422,132300
1,423,82800
1,424,61200
1,425,236700
1,426,7200
1,427,53100
1,428,86400
1,429,448200
1,430,72900
1,431,800100
1,432,815400
1,433,91800
1,434,52200
1,435,13500
1,436,900
1,437,166500
1,438,14400
1,439,14400
1,440,145800
1,441,900
1,442,32400
1,443,18000
1,444,220500
1,445,42300
1,446,31500
1,447,21600
1,448,900
1,449,43200
1,450,900
1,451,80100
1,452,160200
