id1	id2	boundary
1	1	5283.259681
1	2	2641.629888
1	3	2641.629884
1	4	2641.629811
1	5	2641.629747
2	2	7924.889602
2	3	2641.629849
2	9	2641.629757
3	4	2641.629813
3	8	2641.629884
3	9	2641.629888
3	17	2641.629830
4	5	2641.629851
4	16	2641.629830
4	17	2641.629851
4	68	2641.629888
5	5	5283.259714
5	68	2641.629849
5	73	2641.629888
6	6	5283.259710
6	7	2641.629928
6	8	2641.629747
6	9	2641.629851
6	10	2641.629732
7	7	7924.889504
7	8	2641.629851
7	12	2641.629888
8	9	2641.629830
8	12	2641.629849
8	17	2641.629888
9	9	2641.629830
9	10	2641.629813
10	10	10566.519424
11	12	2641.629823
11	13	2641.629851
11	14	2641.629830
11	15	2641.629888
11	16	2641.629789
11	17	2641.629849
12	12	2641.629884
12	13	2641.629830
12	17	2641.629757
13	13	5283.259547
13	14	2641.629888
13	28	2641.629849
14	15	2641.629851
14	19	2641.629747
14	27	2641.629830
14	28	2641.629789
15	16	2641.629849
15	19	2641.629928
15	24	2641.629823
15	69	2641.629757
16	17	2641.629888
16	68	2641.629884
16	69	2641.629888
18	19	2641.629888
18	20	2641.629884
18	21	2641.629830
18	22	2641.629823
18	23	2641.629757
18	24	2641.629849
19	20	2641.629830
19	24	2641.629757
19	27	2641.629851
20	21	2641.629888
20	26	2641.629884
20	27	2641.629888
20	31	2641.629830
21	22	2641.629851
21	30	2641.629849
21	31	2641.629757
21	83	2641.629888
22	23	2641.629849
22	78	2641.629884
22	83	2641.629830
22	86	2641.629813
23	24	2641.629888
23	70	2641.629830
23	77	2641.629851
23	78	2641.629888
24	69	2641.629849
24	70	2641.629789
25	25	7924.889733
25	26	2641.629823
25	27	2641.629757
25	28	2641.629751
26	26	5283.259681
26	27	2641.629849
26	31	2641.629813
27	28	2641.629888
28	28	5283.259710
29	29	7924.889573
29	30	2641.629830
29	34	2641.629747
29	84	2641.629851
30	30	2641.629884
30	31	2641.629888
30	83	2641.629884
30	84	2641.629813
31	31	5283.259681
32	32	7924.889447
32	33	2641.629830
32	88	2641.629884
32	93	2641.629888
33	33	2641.629851
33	34	2641.629813
33	85	2641.629830
33	87	2641.629757
33	88	2641.629888
34	34	5283.259681
34	84	2641.629830
34	85	2641.629884
35	35	7924.889494
35	90	2641.629830
35	95	2641.629851
35	96	2641.629888
36	36	2641.629813
36	37	2641.629851
36	38	2641.629830
36	39	2641.629888
36	40	2641.629757
36	41	2641.629830
37	37	10566.519371
37	38	2641.629747
38	38	2641.629851
38	39	2641.629884
38	42	2641.629888
38	43	2641.629849
39	39	5283.259697
39	40	2641.629849
39	42	2641.629830
40	40	5283.259739
40	41	2641.629823
40	246	2641.629928
41	41	5283.259772
41	245	2641.629849
41	246	2641.629757
42	42	7924.889589
42	43	2641.629757
43	43	10566.519425
44	44	10566.519458
44	45	2641.629757
44	46	2641.629849
45	45	7924.889556
45	46	2641.629823
45	53	2641.629928
46	46	2641.629884
46	47	2641.629813
46	52	2641.629830
46	53	2641.629851
47	47	10566.519305
47	52	2641.629851
48	48	2641.629888
48	49	2641.629884
48	50	2641.629928
48	51	2641.629747
48	52	2641.629884
48	53	2641.629849
49	49	7924.889429
49	50	2641.629888
49	58	2641.629849
50	50	2641.629813
50	51	2641.629818
50	57	2641.629830
50	58	2641.629757
51	51	7924.889570
51	52	2641.629811
52	52	2641.629747
52	53	2641.629888
53	53	5283.259598
54	54	5283.259664
54	55	2641.629830
54	56	2641.629888
54	57	2641.629851
54	58	2641.629811
55	55	5283.259580
55	56	2641.629884
55	59	2641.629888
55	60	2641.629849
56	56	5283.259580
56	57	2641.629849
56	59	2641.629830
57	57	5283.259870
57	58	2641.629747
58	58	5283.259772
59	59	7924.889589
59	60	2641.629757
60	60	10566.519425
61	61	7924.889475
61	63	2641.629888
61	72	2641.629830
61	73	2641.629851
62	62	5283.259812
62	63	2641.629823
62	64	2641.629851
62	65	2641.629830
62	66	2641.629954
63	63	5283.259606
63	64	2641.629830
63	72	2641.629884
64	65	2641.629888
64	71	2641.629757
64	72	2641.629888
64	81	2641.629849
65	66	2641.629884
65	74	2641.629813
65	80	2641.629830
65	81	2641.629789
66	66	7924.889330
66	74	2641.629830
67	68	2641.629823
67	69	2641.629851
67	70	2641.629830
67	71	2641.629888
67	72	2641.629789
67	73	2641.629849
68	69	2641.629830
68	73	2641.629757
69	70	2641.629888
70	71	2641.629851
70	77	2641.629747
71	72	2641.629849
71	77	2641.629928
71	81	2641.629823
72	73	2641.629888
73	73	2641.629830
74	74	5283.259645
74	75	2641.629830
74	80	2641.629851
75	75	7924.889654
75	79	2641.629789
75	80	2641.629888
76	76	2641.629830
76	77	2641.629888
76	78	2641.629884
76	79	2641.629823
76	80	2641.629757
76	81	2641.629849
77	78	2641.629830
77	81	2641.629757
78	78	2641.629888
78	86	2641.629830
79	79	7924.889570
79	80	2641.629849
80	81	2641.629888
82	82	5283.259772
82	83	2641.629747
82	84	2641.629851
82	85	2641.629849
82	86	2641.629830
83	84	2641.629811
83	86	2641.629851
84	85	2641.629888
85	85	2641.629757
85	87	2641.629823
86	86	5283.259645
87	87	7924.889668
87	88	2641.629849
88	88	5283.259697
88	93	2641.629830
89	89	5283.259674
89	90	2641.629830
89	91	2641.629888
89	92	2641.629789
89	93	2641.629849
90	90	5283.259678
90	91	2641.629851
90	95	2641.629747
91	91	5283.259580
91	92	2641.629849
91	95	2641.629928
92	92	7924.889602
92	93	2641.629888
93	93	5283.259608
94	94	2641.629849
94	95	2641.629888
94	96	2641.629884
94	97	2641.629830
94	98	2641.629823
94	99	2641.629757
95	95	2641.629757
95	96	2641.629830
96	96	5283.259714
96	97	2641.629888
97	97	5283.259606
97	98	2641.629851
97	106	2641.629888
98	98	2641.629789
98	99	2641.629849
98	106	2641.629830
98	111	2641.629888
99	99	10566.519458
100	100	5283.259681
100	101	2641.629888
100	102	2641.629757
100	103	2641.629849
100	104	2641.629888
101	101	7924.889602
101	102	2641.629830
101	110	2641.629884
102	103	2641.629888
102	109	2641.629851
102	110	2641.629813
102	124	2641.629830
103	104	2641.629789
103	113	2641.629888
103	123	2641.629849
103	124	2641.629789
104	104	5283.259681
104	113	2641.629830
104	117	2641.629747
105	106	2641.629747
105	107	2641.629851
105	108	2641.629849
105	109	2641.629954
105	110	2641.629884
105	111	2641.629928
106	106	2641.629884
106	107	2641.629811
106	111	2641.629851
107	107	7924.889494
107	108	2641.629888
108	108	2641.629884
108	109	2641.629789
108	119	2641.629888
108	125	2641.629830
109	110	2641.629732
109	119	2641.629830
109	124	2641.629747
110	110	2641.629849
110	111	2641.629823
111	111	5283.259671
112	112	2641.629884
112	113	2641.629888
112	114	2641.629884
112	115	2641.629811
112	116	2641.629813
112	117	2641.629830
113	114	2641.629849
113	117	2641.629851
113	123	2641.629757
114	115	2641.629813
114	122	2641.629851
114	123	2641.629823
114	136	2641.629830
115	116	2641.629851
115	128	2641.629888
115	135	2641.629830
115	136	2641.629851
116	116	7924.889570
116	128	2641.629849
117	117	7924.889573
118	119	2641.629888
118	120	2641.629884
118	121	2641.629811
118	122	2641.629747
118	123	2641.629851
118	124	2641.629830
119	120	2641.629849
119	124	2641.629851
119	125	2641.629757
120	120	5283.259812
120	121	2641.629747
120	125	2641.629888
121	121	5283.259649
121	122	2641.629851
121	133	2641.629888
122	123	2641.629928
122	133	2641.629849
122	136	2641.629888
123	124	2641.629888
125	125	7924.889494
126	126	10566.519274
126	143	2641.629830
126	144	2641.629851
127	127	5283.259662
127	128	2641.629813
127	129	2641.629851
127	130	2641.629830
127	131	2641.629888
128	128	2641.629884
128	129	2641.629830
128	135	2641.629884
129	130	2641.629747
129	134	2641.629757
129	135	2641.629888
129	149	2641.629928
130	131	2641.629884
130	139	2641.629813
130	148	2641.629830
130	149	2641.629851
131	131	5283.259606
131	139	2641.629811
131	144	2641.629747
132	132	5283.259681
132	133	2641.629813
132	134	2641.629888
132	135	2641.629851
132	136	2641.629811
133	133	5283.259714
133	136	2641.629884
134	134	2641.629884
134	135	2641.629849
134	146	2641.629811
134	149	2641.629747
135	136	2641.629747
137	137	7924.889602
137	142	2641.629851
137	143	2641.629747
137	155	2641.629849
138	139	2641.629888
138	140	2641.629884
138	141	2641.629928
138	142	2641.629747
138	143	2641.629884
138	144	2641.629849
139	140	2641.629830
139	144	2641.629851
139	148	2641.629851
140	141	2641.629888
140	147	2641.629851
140	148	2641.629747
140	161	2641.629849
141	142	2641.629818
141	151	2641.629888
141	160	2641.629849
141	161	2641.629757
142	143	2641.629811
142	151	2641.629830
142	155	2641.629888
143	143	2641.629851
143	144	2641.629888
144	144	2641.629928
145	145	5283.259714
145	146	2641.629888
145	147	2641.629888
145	148	2641.629789
145	149	2641.629849
146	146	7924.889494
146	149	2641.629851
147	147	2641.629851
147	148	2641.629830
147	157	2641.629830
147	161	2641.629888
148	149	2641.629888
150	150	2641.629851
150	151	2641.629888
150	152	2641.629757
150	153	2641.629830
150	154	2641.629813
150	155	2641.629830
151	152	2641.629751
151	155	2641.629884
151	160	2641.629822
152	153	2641.629747
152	159	2641.629757
152	160	2641.629954
152	175	2641.629928
153	154	2641.629884
153	163	2641.629888
153	174	2641.629849
153	175	2641.629851
154	154	5283.259714
154	163	2641.629830
154	168	2641.629813
155	155	5283.259580
156	156	2641.629757
156	157	2641.629888
156	158	2641.629830
156	159	2641.629813
156	160	2641.629851
156	161	2641.629830
157	157	7924.889602
157	161	2641.629884
158	158	7924.889429
158	159	2641.629884
158	170	2641.629888
159	160	2641.629830
159	170	2641.629830
159	175	2641.629823
160	161	2641.629823
162	163	2641.629888
162	164	2641.629789
162	165	2641.629849
162	166	2641.629888
162	167	2641.629884
162	168	2641.629830
163	164	2641.629849
163	168	2641.629851
163	174	2641.629757
164	165	2641.629888
164	173	2641.629851
164	174	2641.629823
164	188	2641.629830
165	166	2641.629757
165	177	2641.629823
165	187	2641.629928
165	188	2641.629851
166	166	2641.629851
166	167	2641.629830
166	177	2641.629849
166	181	2641.629888
167	167	7924.889527
167	168	2641.629888
168	168	5283.259662
169	170	2641.629888
169	171	2641.629884
169	172	2641.629928
169	173	2641.629823
169	174	2641.629884
169	175	2641.629830
170	170	2641.629757
170	171	2641.629849
170	175	2641.629851
171	171	7924.889504
171	172	2641.629813
172	172	5283.259681
172	173	2641.629724
172	183	2641.629888
173	174	2641.629830
173	183	2641.629849
173	188	2641.629888
174	175	2641.629888
176	176	2641.629851
176	177	2641.629813
176	178	2641.629851
176	179	2641.629928
176	180	2641.629823
176	181	2641.629811
177	178	2641.629830
177	181	2641.629884
177	187	2641.629851
178	179	2641.629747
178	186	2641.629789
178	187	2641.629888
178	196	2641.629830
179	180	2641.629851
179	189	2641.629813
179	195	2641.629830
179	196	2641.629851
180	180	7924.889527
180	189	2641.629830
181	181	7924.889429
182	183	2641.629813
182	184	2641.629851
182	185	2641.629830
182	186	2641.629888
182	187	2641.629851
182	188	2641.629811
183	183	2641.629917
183	184	2641.629732
183	188	2641.629884
184	184	7924.889639
184	185	2641.629747
185	185	5283.259681
185	186	2641.629884
185	191	2641.629813
186	187	2641.629849
186	191	2641.629830
186	196	2641.629888
187	188	2641.629747
189	189	7924.889377
189	195	2641.629884
190	191	2641.629888
190	192	2641.629884
190	193	2641.629830
190	194	2641.629813
190	195	2641.629884
190	196	2641.629849
191	191	2641.629851
191	192	2641.629830
191	196	2641.629757
192	192	5283.259598
192	193	2641.629888
192	201	2641.629849
193	193	2641.629747
193	194	2641.629851
193	200	2641.629928
193	201	2641.629757
194	194	7924.889570
194	195	2641.629811
195	195	2641.629813
195	196	2641.629888
197	197	5283.259645
197	198	2641.629830
197	199	2641.629813
197	200	2641.629851
197	201	2641.629830
198	198	5283.259598
198	199	2641.629884
198	203	2641.629888
198	207	2641.629849
199	199	5283.259697
199	200	2641.629830
199	203	2641.629830
200	200	5283.259739
200	201	2641.629823
201	201	5283.259772
202	202	7924.889602
202	203	2641.629888
202	204	2641.629789
202	205	2641.629849
203	203	2641.629851
203	204	2641.629849
203	207	2641.629757
204	205	2641.629888
204	206	2641.629851
204	207	2641.629823
204	213	2641.629830
205	205	5283.259580
205	212	2641.629928
205	213	2641.629851
206	206	5283.259547
206	207	2641.629830
206	209	2641.629849
206	213	2641.629888
207	207	5283.259772
208	208	2641.629757
208	209	2641.629813
208	210	2641.629849
208	211	2641.629888
208	212	2641.629851
208	213	2641.629811
209	209	7924.889537
209	213	2641.629884
210	210	5283.259674
210	211	2641.629884
210	215	2641.629813
210	220	2641.629830
211	211	2641.629884
211	212	2641.629830
211	215	2641.629830
211	218	2641.629888
212	212	5283.259664
212	213	2641.629747
214	214	5283.259697
214	215	2641.629888
214	216	2641.629884
214	217	2641.629830
214	218	2641.629849
215	216	2641.629830
215	218	2641.629757
215	220	2641.629851
216	217	2641.629888
216	219	2641.629851
216	220	2641.629747
216	227	2641.629849
217	217	2641.629851
217	221	2641.629747
217	226	2641.629928
217	227	2641.629757
218	218	7924.889570
219	219	7924.889396
219	220	2641.629811
219	227	2641.629888
220	220	5283.259772
221	221	7924.889527
221	222	2641.629830
221	226	2641.629851
222	222	5283.259598
222	225	2641.629884
222	226	2641.629888
222	232	2641.629811
223	223	5283.259664
223	224	2641.629830
223	225	2641.629888
223	226	2641.629757
223	227	2641.629830
224	224	7924.889447
224	225	2641.629884
224	229	2641.629888
225	226	2641.629849
225	229	2641.629830
225	232	2641.629813
226	227	2641.629823
227	227	2641.629884
228	228	5283.259772
228	229	2641.629888
228	230	2641.629789
228	231	2641.629849
228	232	2641.629830
229	229	2641.629757
229	230	2641.629849
229	232	2641.629851
230	230	2641.629823
230	231	2641.629888
230	233	2641.629851
230	242	2641.629830
231	231	2641.629757
231	234	2641.629823
231	241	2641.629928
231	242	2641.629851
232	232	5283.259739
233	233	7924.889377
233	238	2641.629849
233	242	2641.629888
234	234	7924.889527
234	235	2641.629849
234	241	2641.629757
235	235	2641.629757
