species,pu,amount
1,1,139500
1,2,117000
1,3,1663200
1,4,2694600
1,5,2793600
1,6,1390500
1,7,828000
1,8,4572000
1,9,5595300
1,10,22500
1,11,4330800
1,12,2255400
1,13,163800
1,14,6331500
1,15,4032000
1,16,4824900
1,17,4725000
1,18,4372200
1,19,4316400
1,20,7539300
1,21,8011800
1,22,3665700
1,23,547200
1,24,4485600
1,25,726300
1,26,852300
1,27,5843700
1,28,3681900
1,29,49500
1,30,1893600
1,31,1413000
1,32,48600
1,33,1242000
1,34,812700
1,35,2344500
1,36,7482600
1,37,234000
1,38,8730000
1,39,2917800
1,40,9648000
1,41,2780100
1,42,345600
1,43,97200
1,44,3992400
1,45,3517200
1,46,9497700
1,47,27900
1,48,12744900
1,49,1051200
1,50,12510900
1,51,2754000
1,52,12840300
1,53,6072300
1,54,10668600
1,55,2584800
1,56,1219500
1,57,7056900
1,58,5173200
1,59,609300
1,60,50400
1,61,9000
1,62,629100
1,63,853200
1,64,1143000
1,65,4446000
1,66,1621800
1,67,2444400
1,68,1565100
1,69,3965400
1,70,5306400
1,71,3384900
1,72,3490200
1,73,3427200
1,74,5049900
1,75,779400
1,76,389700
1,77,954000
1,78,525600
1,79,513900
1,80,4018500
1,81,984600
1,82,1097100
1,83,4031100
1,84,3822300
1,85,1133100
1,86,324000
1,87,14400
1,88,613800
1,89,3277800
1,90,1805400
1,91,529200
1,92,139500
1,93,498600
1,94,742500
1,95,2326500
1,96,2187000
1,97,444600
1,98,2049300
1,99,2700
1,100,3735000
1,101,117900
1,102,6204600
1,103,5392800
1,104,2496600
1,105,7334100
1,106,1288800
1,107,225900
1,108,2139300
1,109,5942700
1,110,3522600
1,111,4702500
1,112,2439900
1,113,4324500
1,114,4518900
1,115,10324800
1,116,9900
1,117,659700
1,118,9731700
1,119,2617200
1,120,1206000
1,121,5064300
1,122,5469300
1,123,8476200
1,124,6307200
1,125,900
1,126,1164600
1,127,5084100
1,128,5845500
1,129,9496800
1,130,9074700
1,131,3724200
1,132,630000
1,133,2120400
1,134,2972700
1,135,7750800
1,136,8919000
1,137,2660400
1,138,11077200
1,139,8339400
1,140,4639500
1,141,9179100
1,142,9981000
1,143,7676100
1,144,10461600
1,145,329400
1,146,69300
1,147,1514700
1,148,7356600
1,149,5364000
1,150,9593100
1,151,9629100
1,152,9125100
1,153,10599300
1,154,4087800
1,155,3257100
1,156,145800
1,157,69300
1,158,280800
1,159,2593800
1,160,4860900
1,161,3177900
1,162,8480700
1,163,9246600
1,164,5817600
1,165,5532300
1,166,8279100
1,167,2052000
1,168,1417500
1,169,6813900
1,170,1910700
1,171,788400
1,172,1257300
1,173,7336800
1,174,8324100
1,175,9446400
1,176,5085900
1,177,7049700
1,178,3165300
1,179,1937700
1,180,2032200
1,181,1438200
1,182,2527200
1,183,2511900
1,184,69300
1,185,1800
1,186,1075500
1,187,4549500
1,188,5538600
1,189,2871000
1,190,942300
1,191,5400
1,192,1544400
1,193,517500
1,194,12600
1,195,5262300
1,196,484200
1,197,2135700
1,198,3612600
1,199,1550700
1,200,8100
1,201,2566800
1,202,22500
1,203,5312700
1,204,9277200
1,205,1242000
1,206,1413000
1,207,1494900
1,208,6343200
1,209,480600
1,210,3984300
1,211,8461800
1,212,4435200
1,213,10022400
1,214,3603600
1,215,12065400
1,216,10911600
1,217,5555700
1,218,201600
1,219,57600
1,220,3779100
1,221,63000
1,222,3544200
1,223,1754100
1,224,245700
1,225,10483200
1,226,7342200
1,227,5866200
1,228,6198300
1,229,8568000
1,230,11574900
1,231,9442800
1,232,5192100
1,233,1215000
1,234,961200
1,235,8189100
1,236,1433700
1,237,10012500
1,238,1059300
1,239,3173400
1,240,7523100
1,241,8821800
1,242,13569300
1,243,7280100
1,244,12109500
1,245,6998400
1,246,3929400
1,247,1570500
1,248,9297000
1,249,900
