id1,id2,boundary
1,1,7924.88941
1,2,2641.629888
1,3,2641.629884
1,4,2641.629849
2,3,2641.62983
2,4,2641.629851
2,10,2641.629851
2,926,2641.629823
2,927,2641.629928
3,3,2641.629888
3,9,2641.629884
3,10,2641.629888
3,42,2641.62983
4,4,2641.629888
4,919,2641.62983
4,920,2641.629884
4,927,2641.629747
5,6,2641.629888
5,7,2641.629884
5,8,2641.62983
5,9,2641.629823
5,10,2641.629757
5,11,2641.629849
6,7,2641.62983
6,11,2641.629851
6,14,2641.629851
6,932,2641.629823
6,933,2641.629928
7,8,2641.629888
7,13,2641.629884
7,14,2641.629888
7,45,2641.62983
8,9,2641.629851
8,39,2641.629888
8,44,2641.629849
8,45,2641.629757
9,10,2641.629849
9,39,2641.62983
9,42,2641.629813
10,11,2641.629888
10,926,2641.62983
11,925,2641.62983
11,926,2641.629884
11,933,2641.629747
12,12,7924.889668
12,13,2641.629823
12,14,2641.629757
12,15,2641.629849
13,13,2641.629851
13,14,2641.629849
13,43,2641.62983
13,45,2641.629813
14,15,2641.629888
14,932,2641.62983
15,15,7924.889508
15,932,2641.629884
16,16,13208.14908
16,17,2641.629888
17,17,10566.51943
17,46,2641.62983
18,19,2641.629888
18,20,2641.629757
18,21,2641.629928
18,22,2641.629747
18,23,2641.629851
18,24,2641.62983
19,20,2641.629751
19,24,2641.629884
19,30,2641.629884
19,982,2641.629747
19,983,2641.62983
20,21,2641.629747
20,29,2641.629884
20,30,2641.629954
20,92,2641.629811
21,22,2641.629851
21,80,2641.629888
21,91,2641.629849
21,92,2641.629851
22,23,2641.62983
22,80,2641.62983
22,85,2641.629813
22,1030,2641.629884
23,24,2641.629823
23,975,2641.629928
23,1029,2641.629851
23,1030,2641.629888
24,974,2641.629849
24,975,2641.629757
24,983,2641.629888
25,26,2641.629888
25,27,2641.629757
25,28,2641.62983
25,29,2641.629813
25,30,2641.629851
25,31,2641.62983
26,27,2641.629849
26,31,2641.629884
26,36,2641.629789
26,989,2641.629954
26,990,2641.629732
27,28,2641.629747
27,35,2641.629757
27,36,2641.629888
27,99,2641.629928
28,29,2641.629884
28,87,2641.629888
28,98,2641.629849
28,99,2641.629851
29,30,2641.62983
29,87,2641.62983
29,92,2641.629813
30,31,2641.629823
30,982,2641.629928
31,981,2641.629849
31,982,2641.629757
31,990,2641.629888
32,32,2641.629888
32,33,2641.629757
32,34,2641.62983
32,35,2641.629813
32,36,2641.629851
32,37,2641.62983
33,33,5283.259587
33,34,2641.629823
33,38,2641.629813
33,104,2641.629947
34,35,2641.629884
34,94,2641.629888
34,103,2641.629849
34,104,2641.629757
35,36,2641.62983
35,94,2641.62983
35,99,2641.629823
36,37,2641.629823
36,989,2641.629849
37,37,2641.629884
37,988,2641.629849
37,989,2641.629757
37,995,2641.629888
38,38,13208.14917
39,39,5283.259559
39,42,2641.629851
39,44,2641.629884
40,40,10566.51928
40,41,2641.629851
40,106,2641.629884
41,41,13208.14915
42,42,7924.889475
43,43,10566.51933
43,45,2641.629851
44,44,7924.889527
44,45,2641.629888
45,45,2641.62983
46,46,13208.14917
47,47,7924.88957
47,48,2641.629757
47,49,2641.629947
47,50,2641.629823
48,48,2641.62983
48,49,2641.629888
48,55,2641.629851
48,56,2641.629813
48,121,2641.62983
49,50,2641.629851
49,110,2641.629813
49,120,2641.62983
49,121,2641.629884
50,50,5283.259681
50,110,2641.629811
50,114,2641.629747
51,52,2641.629747
51,53,2641.629851
51,54,2641.629849
51,55,2641.629888
51,56,2641.629851
51,57,2641.629928
52,53,2641.629811
52,57,2641.629851
52,63,2641.629884
52,1010,2641.629888
52,1011,2641.62983
53,54,2641.629888
53,62,2641.629851
53,63,2641.629813
53,128,2641.62983
54,55,2641.629884
54,116,2641.629813
54,127,2641.62983
54,128,2641.629884
55,56,2641.62983
55,116,2641.629811
55,121,2641.629747
56,56,2641.629884
56,57,2641.629888
56,1004,2641.629751
57,1003,2641.629849
57,1004,2641.629789
57,1011,2641.629888
58,59,2641.629747
58,60,2641.629851
58,61,2641.629849
58,62,2641.629954
58,63,2641.629917
58,64,2641.62983
59,60,2641.629811
59,64,2641.629851
59,70,2641.629884
59,1017,2641.629888
59,1018,2641.62983
60,61,2641.629888
60,69,2641.629851
60,70,2641.629813
60,135,2641.62983
61,62,2641.629757
61,123,2641.629823
61,134,2641.62983
61,135,2641.629884
62,63,2641.629732
62,123,2641.629928
62,128,2641.629747
63,64,2641.629888
63,1010,2641.629849
64,1009,2641.629928
64,1010,2641.629724
64,1018,2641.629813
65,66,2641.629813
65,67,2641.629851
65,68,2641.629849
65,69,2641.629888
65,70,2641.629884
65,71,2641.629732
66,67,2641.629811
66,71,2641.629884
66,77,2641.629884
66,1024,2641.629888
66,1025,2641.62983
67,68,2641.629888
67,76,2641.629851
67,77,2641.629813
67,142,2641.62983
68,69,2641.629757
68,130,2641.629823
68,141,2641.62983
68,142,2641.629884
69,70,2641.62983
69,130,2641.629849
69,135,2641.629888
70,71,2641.629888
70,1017,2641.629849
71,1016,2641.629811
71,1017,2641.629851
71,1025,2641.629813
72,73,2641.629747
72,74,2641.629851
72,75,2641.629849
72,76,2641.629888
72,77,2641.629884
72,78,2641.62983
73,74,2641.629928
73,78,2641.629851
73,84,2641.629724
73,1031,2641.629823
73,1032,2641.62983
74,75,2641.629888
74,83,2641.629884
74,84,2641.629823
74,149,2641.629732
75,76,2641.629757
75,137,2641.629823
75,148,2641.62983
75,149,2641.629884
76,77,2641.62983
76,137,2641.629849
76,142,2641.629888
77,78,2641.629888
77,1024,2641.629849
78,1023,2641.629811
78,1024,2641.629851
78,1032,2641.629813
79,80,2641.629888
79,81,2641.629789
79,82,2641.629849
79,83,2641.629888
79,84,2641.629884
79,85,2641.62983
80,81,2641.629751
80,85,2641.629851
80,91,2641.629789
81,82,2641.629888
81,90,2641.629851
81,91,2641.629888
81,156,2641.62983
82,83,2641.629757
82,144,2641.629823
82,155,2641.629928
82,156,2641.629851
83,84,2641.62983
83,144,2641.629849
83,149,2641.629954
84,85,2641.629888
84,1031,2641.629947
85,1030,2641.629811
85,1031,2641.629851
86,87,2641.629888
86,88,2641.629789
86,89,2641.629947
86,90,2641.629823
86,91,2641.629884
86,92,2641.62983
87,88,2641.629849
87,92,2641.629851
87,98,2641.629757
88,89,2641.629888
88,97,2641.629851
88,98,2641.629823
88,163,2641.62983
89,90,2641.629724
89,151,2641.629823
89,162,2641.629928
89,163,2641.629851
90,91,2641.62983
90,151,2641.629849
90,156,2641.629888
91,92,2641.629888
93,94,2641.629888
93,95,2641.629884
93,96,2641.62983
93,97,2641.629888
93,98,2641.629851
93,99,2641.629928
94,95,2641.629849
94,99,2641.629851
94,103,2641.629757
95,96,2641.629813
95,102,2641.629851
95,103,2641.629823
95,169,2641.62983
96,97,2641.629789
96,158,2641.629954
96,168,2641.62983
96,169,2641.629851
97,98,2641.62983
97,158,2641.629751
97,163,2641.629888
98,99,2641.629823
100,100,5283.259772
100,101,2641.629811
100,102,2641.629813
100,103,2641.629884
100,104,2641.62983
101,101,5283.259566
101,102,2641.629851
101,165,2641.629888
101,172,2641.62983
102,103,2641.62983
102,165,2641.629849
102,169,2641.629888
103,104,2641.629888
104,104,5283.259674
105,105,13208.14918
105,106,2641.62983
106,106,10566.51934
107,107,13208.1492
107,108,2641.629849
108,108,13208.14918
109,109,2641.629757
109,110,2641.629888
109,111,2641.629884
109,112,2641.62983
109,113,2641.629823
109,114,2641.629849
110,111,2641.629732
110,114,2641.629851
110,120,2641.629884
111,112,2641.629813
111,119,2641.629851
111,120,2641.629813
111,180,2641.62983
112,113,2641.629757
112,179,2641.62983
112,180,2641.629851
112,1037,2641.629888
113,113,5283.259779
113,1037,2641.629849
113,1042,2641.629888
114,114,7924.889602
115,116,2641.629823
115,117,2641.629851
115,118,2641.62983
115,119,2641.629823
115,120,2641.629757
115,121,2641.629849
116,117,2641.629928
116,121,2641.629851
116,127,2641.629851
117,118,2641.629813
117,126,2641.629789
117,127,2641.629888
117,187,2641.62983
118,119,2641.629757
118,175,2641.629888
118,186,2641.629732
118,187,2641.629884
119,120,2641.629928
119,175,2641.629849
119,180,2641.629888
120,121,2641.629888
122,123,2641.629888
122,124,2641.629884
122,125,2641.62983
122,126,2641.629823
122,127,2641.629757
122,128,2641.629849
123,124,2641.62983
123,128,2641.629851
123,134,2641.629851
124,125,2641.629747
124,133,2641.629789
124,134,2641.629888
124,194,2641.629928
125,126,2641.629757
125,182,2641.629888
125,193,2641.62983
125,194,2641.629818
126,127,2641.629849
126,182,2641.629849
126,187,2641.629888
127,128,2641.629888
129,130,2641.629888
129,131,2641.629851
129,132,2641.629928
129,133,2641.629823
129,134,2641.629757
129,135,2641.629849
130,131,2641.62983
130,135,2641.629789
130,141,2641.629851
131,132,2641.629747
131,140,2641.629757
131,141,2641.629823
131,201,2641.62983
132,133,2641.629757
132,189,2641.629888
132,200,2641.62983
132,201,2641.629851
133,134,2641.629849
133,189,2641.629849
133,194,2641.629888
134,135,2641.629888
136,137,2641.629888
136,138,2641.629851
136,139,2641.629928
136,140,2641.629823
136,141,2641.629757
136,142,2641.629849
137,138,2641.62983
137,142,2641.629789
137,148,2641.629851
138,139,2641.629747
138,147,2641.629789
138,148,2641.629888
138,208,2641.62983
139,140,2641.629757
139,196,2641.629888
139,207,2641.62983
139,208,2641.629851
140,141,2641.629947
140,196,2641.629849
140,201,2641.629888
141,142,2641.629888
143,144,2641.629813
143,145,2641.629851
