species,pu,amount
1,1,2700
1,2,126000
1,3,390600
1,4,68400
1,5,19800
1,6,20700
1,7,6300
1,8,8100
1,9,2700
1,10,900
1,11,3600
1,12,900
1,13,2700
1,14,1800
1,15,900
1,16,4500
1,17,900
1,18,1449000
1,19,1457100
1,20,1506600
1,21,1025100
1,22,1530900
1,23,1031400
1,24,352800
1,25,219600
1,26,9000
1,27,110700
1,28,122400
1,29,407700
1,30,303300
1,31,107100
1,32,26100
1,34,72900
1,35,237600
1,36,39600
1,37,260100
1,38,900
1,39,3600
1,40,2700
1,41,4500
1,42,1800
1,43,2700
1,44,73800
1,45,3600
1,46,9000
1,47,72900
1,48,2728800
1,49,1394100
1,50,2273400
1,51,2983500
1,52,4725000
1,53,6917400
1,54,2534400
1,55,1735200
1,56,4257000
1,57,5125500
1,58,7750800
1,59,10036800
1,60,8856000
1,61,9135000
1,62,7660800
1,63,9073800
1,64,10987200
1,65,8668800
1,66,10548900
1,67,5964300
1,68,4372200
1,69,8807400
1,70,12150900
1,71,13268700
1,72,1704600
1,73,1047600
1,74,819900
1,75,1032300
1,76,1143900
1,77,5549400
1,78,3903300
1,79,1161900
1,80,897300
1,81,621000
1,82,806400
1,83,542700
1,84,1294200
1,85,995400
1,86,193500
1,87,165600
1,88,149400
1,89,273600
1,90,284400
1,91,433800
1,92,632700
1,93,149400
1,94,100800
1,95,84600
1,96,85500
1,97,188100
1,98,271800
1,99,73800
1,100,10800
1,101,5400
1,102,9900
1,103,95400
1,104,6300
1,105,900
1,106,6300
1,107,900
1,108,7200
1,109,224100
1,110,2921400
1,111,1028700
1,112,14400
1,113,271800
1,114,2005200
1,115,649800
1,116,1150200
1,117,3078900
1,118,1863900
1,119,703800
1,120,1029600
1,121,2065500
1,122,3417300
1,123,8064900
1,124,5454000
1,125,5530500
1,126,3055500
1,127,2153700
1,128,5317200
1,129,6617700
1,130,3773700
1,131,1299600
1,132,1600200
1,133,3580200
1,134,7540200
1,135,7342200
1,136,1180800
1,137,1489500
1,138,802800
1,139,400500
1,140,610200
1,141,1196100
1,142,1318500
1,143,1162800
1,144,410400
1,145,128700
1,146,391500
1,147,328500
1,148,938700
1,149,592200
1,150,192600
1,151,230400
1,152,198900
1,153,116100
1,154,258300
1,155,199800
1,156,481500
1,157,135900
1,158,240300
1,159,39600
1,160,27900
1,161,158400
1,162,174600
1,163,128700
1,164,29700
1,166,900
1,167,6300
1,168,21600
1,169,25200
1,170,2700
1,171,900
1,172,900
1,173,10800
1,174,967500
1,175,1236600
1,176,688500
1,177,636300
1,178,711900
1,179,268200
1,180,842400
1,181,2032200
1,182,4353300
1,183,2682000
1,184,2016000
1,185,1262700
1,186,1860300
1,187,2338200
1,188,1386000
1,189,2080800
1,190,518400
1,191,285300
1,192,2121300
1,193,2205000
1,194,2781000
1,195,529200
1,196,342000
1,197,202500
1,198,281700
1,199,288900
1,200,606600
1,201,601200
1,202,216000
1,203,297900
1,204,97200
1,205,117000
1,206,149400
1,207,226800
1,208,648900
1,209,63900
1,210,63900
1,211,80100
1,212,45000
1,213,221400
1,214,205200
1,215,43200
1,216,13500
1,217,15300
1,218,9000
1,219,18900
1,220,27900
1,221,115200
1,222,111600
1,223,900
1,224,17100
1,225,1800
1,226,2700
1,227,5400
1,228,9000
1,229,5400
1,230,1800
1,231,1800
1,232,7200
1,233,4500
1,234,900
1,235,4500
1,236,5400
1,237,1556100
1,238,742500
1,239,417600
1,240,103500
1,241,376200
1,242,1355400
1,243,1749600
1,244,15300
1,245,589500
1,246,900
1,247,2700
1,248,21600
1,249,46800
1,250,339300
1,251,196200
1,252,585900
1,253,169200
1,254,64800
1,255,76500
1,256,907200
1,257,2111400
1,258,90000
1,259,335700
1,260,139500
1,261,69300
1,262,89100
1,263,202500
1,264,276300
1,265,156600
1,266,87300
1,267,53100
1,268,25200
1,269,222300
1,270,148500
1,271,157500
1,272,56700
1,273,38700
1,274,23400
1,275,1800
1,276,24300
1,277,47700
1,278,72000
1,279,12600
1,280,18900
1,281,5400
1,282,1800
1,283,10800
1,284,20700
1,285,27000
1,286,900
1,287,1800
1,288,2700
1,289,5400
1,290,900
1,292,900
1,293,4207500
1,294,2456100
1,295,3648600
1,296,4021200
1,297,2177100
1,298,886500
1,299,602100
1,300,4500
1,301,2700
1,302,2700
1,303,2700
1,304,253800
1,305,79200
