id1	id2	boundary
1	1	5283.259714
1	2	2641.629747
1	3	2641.629851
1	4	2641.629849
1	5	2641.629888
2	2	7924.889570
2	3	2641.629928
2	9	2641.629757
3	4	2641.629888
3	8	2641.629851
3	9	2641.629823
3	26	2641.629830
4	5	2641.629757
4	14	2641.629823
4	25	2641.629830
4	26	2641.629884
5	5	5283.259681
5	14	2641.629947
5	19	2641.629823
6	6	7924.889475
6	7	2641.629849
6	8	2641.629888
6	9	2641.629884
7	7	2641.629888
7	8	2641.629757
7	21	2641.629823
7	27	2641.629928
7	28	2641.629851
8	9	2641.629830
8	21	2644.181178
8	26	2639.929763
9	9	5283.259737
10	10	5283.259747
10	11	2641.629747
10	17	2641.629789
10	18	2641.629888
10	39	2641.629830
11	11	2641.629928
11	12	2641.629757
11	30	2641.629888
11	38	2641.629732
11	39	2641.629884
12	12	10566.519350
12	30	2641.629849
13	14	2641.629888
13	15	2641.629884
13	16	2641.629830
13	17	2641.629823
13	18	2641.629757
13	19	2641.629849
14	15	2641.629830
14	19	2641.629757
14	25	2641.629851
15	16	2641.629813
15	24	2641.629789
15	25	2641.629888
15	46	2641.629830
16	17	2641.629757
16	34	2641.629888
16	45	2641.629830
16	46	2641.629851
17	18	2641.629849
17	34	2641.629849
17	39	2641.629888
18	18	5283.259681
18	19	2641.629888
19	19	5283.259714
20	21	2641.629813
20	22	2642.481419
20	23	2639.078592
20	24	2641.629888
20	25	2641.629757
20	26	2641.629830
21	22	2641.629830
21	26	2640.780597
21	27	2641.629851
22	22	5283.259587
22	23	2643.331333
22	27	2641.629823
23	23	2641.629851
23	24	2641.629789
23	41	2641.629888
23	50	2641.629830
24	25	2641.629849
24	41	2641.629849
24	46	2641.629888
25	26	2641.629888
27	27	5283.259798
27	28	2641.629747
28	28	10566.519414
29	29	7924.889527
29	30	2641.629823
29	31	2641.629851
29	32	2641.629830
30	30	2641.629757
30	31	2641.629830
30	38	2641.629884
31	32	2641.629888
31	37	2641.629757
31	38	2641.629888
31	61	2641.629849
32	32	2641.629851
32	53	2641.629747
32	60	2641.629811
32	61	2641.629884
33	34	2641.629823
33	35	2641.629851
