species,pu,amount
1,1,21600
1,2,10800
1,3,1800
1,4,90000
1,5,25200
1,6,1800
1,7,73800
1,8,76500
1,9,6300
1,10,9000
1,11,6300
1,12,1800
1,13,47700
1,14,66600
1,15,112500
1,16,74700
1,17,67500
1,18,6300
1,19,8100
1,20,162900
1,21,193500
1,22,10800
1,23,9000
1,24,39600
1,25,144900
1,26,120600
1,27,69300
1,28,12600
1,29,9000
1,30,27900
1,31,4500
1,32,16200
1,33,41400
1,34,119700
1,35,260100
1,36,252000
1,37,240300
1,38,29700
1,39,55800
1,40,4500
1,41,27000
1,42,900
1,43,67500
1,44,133200
1,45,151200
1,46,53100
1,47,5400
1,48,27000
1,49,900
1,50,3600
1,51,6300
1,52,9000
1,53,900
1,54,900
1,55,900
1,56,31500
1,57,240300
1,58,59400
1,59,47700
1,60,260100
1,61,233100
1,62,262800
1,63,421200
1,64,383400
1,65,218700
1,66,28800
1,67,192600
1,68,225000
1,69,172800
1,70,45000
1,71,42300
1,72,20700
1,73,135000
1,74,224100
1,75,4500
1,76,900
1,77,6300
1,78,53100
1,79,2700
1,80,15300
1,81,172800
1,82,14400
1,83,17100
1,84,158400
1,85,61200
1,86,79200
1,87,67500
1,88,94500
1,89,15300
1,90,30600
1,91,140400
1,92,28800
1,93,35100
1,94,441000
1,95,545400
1,96,259200
1,97,152100
1,98,7200
1,99,1800
1,100,54900
1,101,63900
1,102,21600
1,103,4500
1,104,3600
1,105,900
1,106,72000
1,107,11700
1,108,97200
1,109,66600
1,110,7200
1,111,900
1,112,10800
1,113,28800
1,114,42300
1,115,54900
1,116,92700
1,117,7200
1,118,5400
1,119,9000
1,120,27000
1,121,495000
1,122,837900
1,123,349200
1,124,4500
1,125,20700
1,126,401400
1,127,486900
1,128,18900
1,129,10800
1,130,743400
1,131,776700
1,132,581400
1,133,43200
1,134,3600
1,135,900
1,136,900
1,137,2700
1,138,1800
1,139,1800
1,140,1800
1,141,1800
1,142,2700
1,143,18900
1,144,20700
1,145,2700
1,146,353700
1,147,118800
1,148,18000
1,149,52200
1,150,108000
1,151,208800
1,152,1540800
1,153,87300
1,154,188100
1,155,475200
1,156,732600
1,157,1692000
1,158,26100
1,159,7200
1,160,28800
1,161,162900
1,162,124200
1,163,532800
1,164,317700
1,165,1800
1,166,5400
1,167,3600
1,168,7200
1,169,900
1,170,1800
1,171,1800
1,172,900
1,173,75600
1,174,15300
1,175,3600
1,176,19800
1,177,900
1,178,15300
1,179,126900
1,180,79200
1,181,97200
1,182,17100
1,183,152100
1,184,395100
1,185,594900
1,186,19800
1,187,35100
1,188,27900
1,189,84600
1,190,45000
1,191,39600
1,192,27000
1,193,90000
1,194,117000
1,195,216000
1,196,457200
1,197,11700
1,198,18900
1,199,86400
1,200,206100
1,201,957600
1,202,114300
1,203,129600
1,204,438300
1,205,884700
1,206,240300
1,207,390600
1,208,281700
1,209,1362600
1,210,722700
1,211,498600
1,212,322200
1,213,67500
1,214,378000
1,215,15300
1,216,198900
1,217,351900
1,218,1449900
1,219,348300
1,220,1800
1,221,3600
1,222,2700
1,223,10800
1,224,50400
1,225,157500
1,226,80100
1,227,9900
1,228,9900
1,229,4500
1,230,19800
1,231,41400
1,232,24300
1,233,9000
1,234,900
1,235,900
1,236,900
1,237,2700
1,238,4500
1,239,177300
1,240,14400
1,241,202500
1,242,373500
1,243,519300
1,244,267300
1,245,434700
1,246,112500
1,247,533700
1,248,54000
1,249,162000
1,250,93600
1,251,77400
1,252,223200
1,253,467100
1,254,305100
1,255,42300
1,256,81000
1,257,500400
1,258,152100
1,259,1096200
1,260,356400
1,261,39600
1,262,621000
1,263,667800
1,264,378900
1,265,232200
1,266,205200
1,267,324900
1,268,468000
1,269,169200
1,270,143100
1,271,380700
1,272,585900
1,273,628200
1,274,278100
1,275,358200
1,276,928800
1,277,1174500
1,278,628200
1,279,1263600
1,280,162900
1,281,623700
1,282,584100
1,283,857700
1,284,252000
1,285,281700
1,286,358200
1,287,249300
1,288,924300
1,289,189000
1,290,88200
1,291,22500
1,292,386100
1,293,14400
1,294,124200
1,295,62100
1,296,123300
1,297,34200
1,298,304200
