id1	id2	boundary
1	1	10566.519383
1	3847	2641.629830
1	3848	2641.629851
2	2	7924.889471
2	3	2641.629888
2	6	2641.629888
2	52	2641.629751
3	3	10566.519240
3	52	2641.629884
4	4	7924.889487
4	5	2641.629830
4	6	2641.629884
4	7	2641.629849
5	5	10566.519371
5	55	2641.629811
6	6	7924.889610
6	7	2641.629888
7	7	10566.519326
8	8	13208.149247
8	56	2641.629732
9	9	10566.519336
9	3865	2641.629928
9	3866	2641.629851
10	10	5283.259714
10	11	2641.629888
10	12	2641.629884
10	13	2641.629813
10	14	2641.629849
11	11	7924.889475
11	12	2641.629830
11	14	2641.629851
12	12	10566.519336
13	13	13208.149232
14	14	7924.889487
14	3868	2641.629928
15	15	7924.889621
15	16	2641.629830
15	17	2641.629823
15	18	2641.629757
16	16	5283.259645
16	17	2641.629851
16	65	2641.629888
16	70	2641.629849
17	17	2641.629757
17	18	2641.629947
17	65	2641.629830
17	67	2641.629888
18	18	7924.889562
18	3870	2641.629830
19	19	5283.259662
19	20	2641.629888
19	25	2641.629757
19	26	2641.629813
19	75	2641.629849
20	20	10566.519432
20	75	2641.629884
21	21	2641.629830
21	22	2641.629747
21	23	2641.629851
21	24	2641.629830
21	25	2641.629813
21	26	2641.629884
22	22	5283.259735
22	23	2641.629811
22	3884	2641.629888
22	3885	2641.629830
23	23	5283.259569
23	24	2641.629888
23	81	2641.629849
24	25	2641.629851
24	72	2641.629747
24	80	2641.629811
24	81	2641.629884
25	26	2641.629830
25	72	2641.629928
25	75	2641.629823
26	26	5283.259772
26	3879	2641.629849
27	27	10566.519295
27	28	2641.629830
27	29	2641.629830
28	28	7924.889623
28	77	2641.629747
28	85	2641.629811
29	29	10566.519383
29	3884	2641.629757
30	30	10566.519415
30	33	2641.629757
30	3889	2641.629830
31	31	15849.778955
32	32	10566.519309
32	33	2641.629830
32	87	2641.629830
33	33	10566.519444
34	34	13208.149232
34	3894	2641.629813
35	35	10566.519364
35	36	2641.629849
35	39	2641.629851
36	36	5283.259612
36	37	2641.629888
36	43	2641.629757
36	107	2641.629849
37	37	5283.259681
37	97	2641.629888
37	106	2641.629849
37	107	2641.629757
38	38	13208.149143
38	39	2641.629888
39	39	10566.519432
40	40	5283.259739
40	41	2641.629789
40	42	2641.629830
40	43	2641.629747
40	44	2641.629830
41	41	2641.629849
41	42	2641.629823
41	46	2641.629757
41	47	2641.629823
41	110	2641.629947
42	42	5283.259737
42	43	2641.629851
42	110	2641.629724
43	43	5283.259758
43	107	2641.629888
44	44	10566.519352
44	3898	2641.629849
45	45	7924.889508
45	46	2641.629747
45	47	2641.629851
45	48	2641.629830
46	46	5283.259681
46	47	2641.629928
46	110	2641.629888
47	47	5283.259606
47	48	2641.629888
48	48	7924.889463
48	3901	2641.629849
49	49	13208.149125
49	50	2641.629830
50	50	13208.149215
51	51	7924.889353
51	54	2641.629884
51	55	2641.629888
51	117	2641.629811
52	52	10566.519481
53	53	15849.778937
54	54	5283.259697
54	55	2641.629830
54	113	2641.629830
54	117	2641.629813
55	55	7924.889515
56	56	13208.149285
57	57	7924.889461
57	120	2641.629888
57	127	2641.629849
57	128	2641.629851
58	58	15849.779031
59	59	15849.778969
60	60	7924.889475
60	61	2641.629830
60	62	2641.629813
60	63	2641.629851
61	61	5283.259737
61	62	2641.629884
61	130	2641.629888
61	138	2641.629789
62	62	2641.629757
62	63	2641.629830
62	130	2641.629830
62	133	2641.629823
63	63	10566.519350
64	64	7924.889494
64	65	2641.629813
64	66	2641.629851
64	67	2641.629830
65	66	2641.629811
65	67	2641.629884
65	70	2641.629884
66	66	2641.629888
66	69	2641.629757
66	70	2641.629813
66	145	2641.629849
67	67	7924.889429
68	68	10566.519432
68	69	2641.629884
68	140	2641.629888
69	69	2641.629813
69	70	2641.629830
69	140	2641.629830
69	145	2641.629823
70	70	5283.259674
71	71	13208.149297
71	74	2641.629884
72	72	2641.629888
72	73	2641.629849
72	75	2641.629851
72	80	2641.629851
73	73	7924.889580
73	80	2641.629888
73	152	2641.629830
74	74	13208.149166
75	75	5283.259643
76	76	2641.629747
76	77	2641.629888
76	78	2641.629884
76	79	2641.629811
76	80	2641.629851
76	81	2641.629830
77	77	2641.629928
77	78	2641.629849
77	81	2641.629851
77	85	2641.629851
78	79	2641.629813
78	84	2641.629884
78	85	2641.629888
78	159	2641.629830
79	79	2641.629851
79	148	2641.629888
79	158	2641.629830
79	159	2641.629851
80	80	2641.629830
80	81	2641.629813
81	81	2641.629823
82	82	7924.889436
82	83	2641.629823
82	89	2641.629884
82	90	2641.629888
83	83	7924.889610
83	84	2641.629851
83	154	2641.629888
84	84	2641.629747
84	85	2641.629830
84	154	2641.629849
84	159	2641.629888
85	85	5283.259664
86	86	5283.259679
86	87	2641.629888
86	88	2641.629757
86	89	2641.629888
86	90	2641.629851
87	87	5283.259631
87	88	2641.629849
87	95	2641.629851
88	88	2641.629823
88	94	2641.629884
88	95	2641.629888
88	168	2641.629830
89	89	5283.259678
89	90	2641.629830
89	161	2641.629849
90	90	7924.889475
91	91	5283.259719
91	92	2641.629757
91	93	2641.629849
91	94	2641.629888
91	95	2641.629851
92	92	2641.629751
92	93	2641.629823
92	100	2641.629884
92	101	2641.629954
92	171	2641.629830
93	93	2641.629830
93	94	2641.629884
93	165	2641.629813
93	171	2641.629851
94	95	2641.629830
94	165	2641.629830
94	168	2641.629888
95	95	5283.259751
96	96	2641.629830
96	97	2641.629888
96	98	2641.629757
96	99	2641.629849
96	100	2641.629888
96	101	2641.629851
97	97	5283.259714
97	98	2641.629849
97	106	2641.629789
98	99	2641.629823
98	105	2641.629851
98	106	2641.629888
98	174	2641.629928
99	99	2641.629830
99	100	2641.629884
