species,pu,amount
1,1,18000
1,2,2700
1,3,4500
1,4,72900
1,5,129600
1,6,8100
1,7,20700
1,8,11700
1,9,9000
1,10,15300
1,11,10800
1,12,15300
1,13,12600
1,14,57600
1,15,271800
1,16,3600
1,17,3600
1,18,2700
1,19,8100
1,20,2700
1,21,36900
1,22,7200
1,23,6300
1,24,17100
1,25,900
1,26,39600
1,27,12600
1,28,22500
1,29,5400
1,30,135000
1,31,2700
1,32,21600
1,33,900
1,34,2700
1,35,63900
1,36,16200
1,37,2700
1,38,4500
1,39,2700
1,40,1800
1,41,25200
1,42,162900
1,43,4500
1,44,900
1,45,6300
1,46,59400
1,47,17100
1,48,35100
1,49,6300
1,50,7200
1,51,14400
1,52,3600
1,53,2700
1,54,36000
1,55,15300
1,56,21600
1,57,1800
1,58,4500
1,59,900
1,60,10800
1,61,5400
1,62,18900
1,63,7200
1,64,900
1,65,44100
1,66,9000
1,67,900
1,68,33300
1,69,18900
1,70,16200
1,71,3600
1,72,27900
1,73,9900
1,74,4500
1,75,2700
1,76,4500
1,77,3600
1,78,35100
1,79,6300
1,80,5400
1,81,2700
1,82,19800
1,83,54900
1,84,4500
1,85,48600
1,86,15300
1,87,1800
1,88,35100
1,89,9000
1,90,12600
1,91,129600
1,92,22500
1,93,3600
1,94,48600
1,95,11700
1,96,60300
1,97,6300
1,98,57600
1,99,18900
1,100,10800
1,101,63000
1,102,150300
1,103,24300
1,104,5400
1,105,11700
1,106,9000
1,107,9900
1,108,3600
1,109,1800
1,110,52200
1,111,900
1,112,98100
1,113,900
1,114,9900
1,115,71100
1,116,15300
1,117,5400
1,118,10800
1,119,17100
1,120,54900
1,121,11700
1,122,66600
1,123,5400
1,124,4500
1,125,2700
1,126,16200
1,127,17100
1,128,9000
1,129,10800
1,130,5400
1,131,31500
1,132,12600
1,133,8100
1,134,14400
1,135,49500
1,136,36900
1,137,5400
1,138,2700
1,139,17100
1,140,8100
1,141,38700
1,142,10800
1,143,900
1,144,14400
1,145,43200
1,146,4500
1,147,7200
1,148,5400
1,149,5400
1,150,30600
1,151,4500
1,152,2700
1,153,22500
1,154,16200
1,155,13500
1,156,27000
1,157,27000
1,158,6300
1,160,9900
1,161,13500
1,162,54900
1,163,6300
1,164,4500
1,165,21600
1,166,7200
1,167,9000
1,168,4500
1,169,26100
1,170,4500
1,171,15300
1,172,4500
1,173,900
1,174,9000
1,175,49500
1,176,5400
1,177,9000
1,178,112500
1,179,41400
1,180,4500
1,181,4500
1,182,8100
1,183,4500
1,184,7200
1,185,3600
1,186,2700
1,187,3600
1,188,900
1,189,900
1,190,23400
1,191,67500
1,192,81000
1,193,4500
1,194,2700
1,195,4500
1,196,14400
1,197,11700
1,198,61200
1,199,26100
1,200,30600
1,201,19800
1,202,4500
1,203,10800
1,204,28800
1,205,17100
1,206,21600
1,207,746100
1,208,105300
1,209,327600
1,210,103500
1,211,17100
1,212,34200
1,213,4500
1,214,77400
1,215,22500
1,216,7200
1,217,3600
1,218,22500
1,219,5400
1,220,2700
1,221,4500
1,222,6300
1,223,24300
1,224,1800
1,225,1800
1,226,4500
1,227,3600
1,228,8100
1,229,2700
1,230,20700
1,231,9900
1,232,5400
1,233,30600
1,234,900
1,235,30600
1,236,12600
1,237,33300
1,238,9000
1,239,900
1,240,19800
1,241,5400
1,242,35100
1,243,3600
1,244,34200
1,245,4500
1,246,68400
1,247,3600
1,248,195300
1,249,8100
1,250,23400
1,251,24300
1,252,21600
1,253,22500
1,254,7200
1,255,3600
1,256,5400
1,257,1800
1,258,13500
1,259,17100
1,260,47700
1,261,31500
1,262,1800
1,263,81000
1,264,5400
1,265,48600
1,266,58500
1,267,20700
1,268,77400
1,269,7200
1,270,16200
1,271,70200
1,272,11700
1,273,63000
1,274,20700
1,275,18900
1,276,28800
1,277,4500
1,278,900
1,279,8100
1,280,5400
1,281,22500
1,282,14400
1,283,4500
1,284,11700
1,285,27900
1,286,61200
1,287,27000
1,288,365400
1,289,50400
1,290,900
1,291,5400
1,292,8100
1,293,35100
1,294,11700
1,295,8100
1,296,9900
1,297,14400
1,298,27000
1,299,5400
1,300,14400
1,301,900
1,302,5400
1,303,5400
1,304,900
1,305,9000
1,306,14400
1,307,19800
1,308,26100
1,309,12600
1,310,4500
1,311,38700
1,312,12600
1,313,57600
1,314,23400
1,315,17100
1,316,47700
1,317,21600
1,318,53100
1,319,53100
1,320,18900
1,321,4500
1,322,46800
1,323,5400
1,324,130500
1,325,4500
1,326,8100
1,327,31500
1,328,229500
1,329,8100
1,330,7200
1,331,11700
1,332,1800
1,333,4500
1,334,66600
1,335,60300
1,336,33300
1,337,9000
1,338,68400
1,339,6300
1,340,46800
1,341,8100
1,342,6300
1,343,8100
1,344,12600
1,345,33300
1,346,512100
1,347,12600
1,348,8100
1,349,5400
1,350,9000
1,351,9000
1,352,8100
1,353,7200
1,354,7200
1,355,9000
1,356,14400
1,357,20700
1,358,9000
1,359,4500
1,360,4500
1,361,4500
1,362,9000
1,363,9900
1,364,23400
1,365,4500
1,366,10800
1,367,15300
1,368,4500
1,369,4500
1,370,29700
1,371,18900
1,372,20700
1,373,4500
1,374,15300
1,375,32400
1,376,8100
1,377,5400
1,378,21600
1,379,5400
1,380,8100
1,381,6300
1,382,3600
1,383,9000
1,384,900
1,385,4500
1,386,4500
1,387,4500
1,388,12600
1,389,7200
1,390,13500
